,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
157,Bacc Seat (feat. Ty Dolla $ign),Roddy Ricch,Top Songs of 2020: USA,0.783,0.524,1.0,-6.828,1.0,0.115,0.0404,0.0,0.087,0.153,144.989,172320.0,62.0
158,Chasin' You,Morgan Wallen,Top Songs of 2020: USA,0.631,0.591,7.0,-5.785,1.0,0.0277,0.657,0.0,0.11,0.489,97.074,205453.0,77.0
159,Hot (feat. Gunna),Young Thug,Top Songs of 2020: USA,0.855,0.651,0.0,-8.044,0.0,0.235,0.063,0.0,0.0772,0.559,111.997,193027.0,68.0
160,Hot Now,YoungBoy Never Broke Again,Top Songs of 2020: USA,0.739,0.637,4.0,-5.79,0.0,0.44,0.232,0.0,0.634,0.513,164.91,128414.0,60.0
161,Futsal Shuffle 2020,Lil Uzi Vert,Top Songs of 2020: USA,0.881,0.457,7.0,-8.191,0.0,0.155,0.0327,0.0,0.231,0.297,136.97,198913.0,0.0
162,The Bigger Picture,Lil Baby,Top Songs of 2020: USA,0.59,0.618,1.0,-5.756,1.0,0.334,0.0127,0.0,0.244,0.153,96.459,252729.0,65.0
163,Chicago Freestyle,"Drake, GIVĒON",Top Songs of 2020: USA,0.735,0.449,10.0,-7.507,1.0,0.347,0.629,0.0,0.113,0.0397,122.947,220488.0,78.0
164,Suge,DaBaby,Top Songs of 2020: USA,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,163320.0,67.0
166,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2020: USA,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,81.0
167,Lucid Dreams,Juice WRLD,Top Songs of 2020: USA,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,81.0
168,Body,Summer Walker,Top Songs of 2020: USA,0.555,0.507,11.0,-6.099,0.0,0.167,0.25,0.0,0.283,0.339,137.875,193840.0,67.0
169,Savage Remix (feat. Beyoncé),Megan Thee Stallion,Top Songs of 2020: USA,0.822,0.743,10.0,-4.772,0.0,0.28,0.016,0.0,0.127,0.636,84.459,242001.0,62.0
170,Tip Toe (feat. A Boogie wit da Hoodie),Roddy Ricch,Top Songs of 2020: USA,0.757,0.673,1.0,-8.513,1.0,0.141,0.095,0.0,0.338,0.574,92.958,185806.0,54.0
171,SICKO MODE,Travis Scott,Top Songs of 2020: USA,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,79.0
172,Heatin Up,"Lil Baby, Gunna",Top Songs of 2020: USA,0.788,0.436,1.0,-9.435,1.0,0.364,0.0611,0.0,0.0979,0.341,129.847,177314.0,64.0
173,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Top Songs of 2020: USA,0.846,0.48,8.0,-8.618,0.0,0.359,0.269,0.0,0.0989,0.419,143.029,169532.0,72.0
174,Sunday Best,Surfaces,Top Songs of 2020: USA,0.878,0.525,5.0,-6.832,1.0,0.0578,0.183,0.0,0.0714,0.694,112.022,158571.0,72.0
175,Robbery,Juice WRLD,Top Songs of 2020: USA,0.623,0.692,2.0,-5.122,1.0,0.0504,0.328,0.0,0.153,0.566,79.899,240051.0,78.0
176,Godzilla (feat. Juice WRLD),Eminem,Top Songs of 2020: USA,0.808,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.829,165.995,210800.0,79.0
177,BEST ON EARTH (feat. BIA) [Bonus],Russ,Top Songs of 2020: USA,0.846,0.748,5.0,-3.512,0.0,0.078,0.188,0.0,0.093,0.597,90.006,160720.0,64.0
178,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2020: USA,0.548,0.653,5.0,-3.875,1.0,0.081,0.456,0.0,0.103,0.163,150.068,174853.0,76.0
179,Cash Shit (feat. DaBaby),Megan Thee Stallion,Top Songs of 2020: USA,0.921,0.635,1.0,-4.904,1.0,0.416,0.0218,0.0,0.0946,0.549,130.028,192540.0,62.0
180,Lonely Child,YoungBoy Never Broke Again,Top Songs of 2020: USA,0.584,0.688,6.0,-4.427,0.0,0.431,0.294,0.0,0.097,0.628,94.971,217659.0,60.0
181,bad guy,Billie Eilish,Top Songs of 2020: USA,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,79.0
182,Whiskey Glasses,Morgan Wallen,Top Songs of 2020: USA,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347.0,77.0
183,Say So,Doja Cat,Top Songs of 2020: USA,0.787,0.673,11.0,-4.583,0.0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893.0,75.0
184,Memories,Maroon 5,Top Songs of 2020: USA,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,189486.0,82.0
185,Flex (feat. Juice WRLD),Polo G,Top Songs of 2020: USA,0.752,0.673,10.0,-5.792,0.0,0.153,0.0538,0.0,0.133,0.35,164.009,163902.0,70.0
186,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: USA,0.464,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,208687.0,74.0
187,Before You Go,Lewis Capaldi,Top Songs of 2020: USA,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,80.0
188,F.N,Lil Tjay,Top Songs of 2020: USA,0.567,0.515,6.0,-10.265,0.0,0.247,0.354,0.0,0.078,0.321,120.1,224000.0,74.0
189,Yes Indeed,"Lil Baby, Drake",Top Songs of 2020: USA,0.963,0.346,5.0,-9.309,0.0,0.53,0.0355,0.0,0.108,0.562,119.957,142273.0,78.0
190,Party Girl,StaySolidRocky,Top Songs of 2020: USA,0.728,0.431,6.0,-9.966,0.0,0.0622,0.749,0.0,0.0996,0.629,130.022,147800.0,67.0
191,Big Stepper,Roddy Ricch,Top Songs of 2020: USA,0.753,0.597,8.0,-8.469,1.0,0.292,0.0477,0.0,0.197,0.616,76.997,175170.0,0.0
192,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Top Songs of 2020: USA,0.716,0.537,0.0,-7.648,0.0,0.0514,0.233,0.0,0.157,0.28,129.979,165978.0,72.0
193,Jerry Sprunger,"Tory Lanez, T-Pain",Top Songs of 2020: USA,0.76,0.746,0.0,-5.331,0.0,0.227,0.137,0.0,0.0905,0.449,100.011,233546.0,60.0
195,Yummy,Justin Bieber,Top Songs of 2020: USA,0.676,0.506,9.0,-6.652,0.0,0.0958,0.345,0.0,0.118,0.497,145.842,208520.0,65.0
196,Bad Bad Bad (feat. Lil Baby),Young Thug,Top Songs of 2020: USA,0.974,0.596,6.0,-8.888,1.0,0.184,0.0976,0.0,0.151,0.892,111.959,149040.0,65.0
197,The London (feat. J. Cole & Travis Scott),Young Thug,Top Songs of 2020: USA,0.796,0.586,4.0,-6.946,0.0,0.147,0.0247,0.0,0.132,0.179,97.981,200107.0,64.0
198,Truth Hurts,Lizzo,Top Songs of 2020: USA,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,173325.0,72.0
199,Savage,Megan Thee Stallion,Top Songs of 2020: USA,0.843,0.741,11.0,-5.609,1.0,0.334,0.0252,0.0,0.096,0.68,168.983,155497.0,65.0
200,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2021: USA,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956.0,78.0
201,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2021: USA,0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.347,125.971,190476.0,76.0
202,Back in Blood (feat. Lil Durk),Pooh Shiesty,Top Songs of 2021: USA,0.759,0.538,8.0,-8.256,0.0,0.384,0.151,0.0,0.126,0.831,146.933,184490.0,67.0
203,drivers license,Olivia Rodrigo,Top Songs of 2021: USA,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013.0,82.0
204,On Me,Lil Baby,Top Songs of 2021: USA,0.856,0.564,6.0,-6.295,0.0,0.392,0.00327,0.0,0.134,0.483,77.972,135960.0,73.0
205,Dakiti,"Bad Bunny, Jhayco",Top Songs of 2021: USA,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090.0,78.0
206,RAPSTAR,Polo G,Top Songs of 2021: USA,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,165926.0,78.0
207,good 4 u,Olivia Rodrigo,Top Songs of 2021: USA,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,82.0
208,Good Days,SZA,Top Songs of 2021: USA,0.436,0.655,1.0,-8.37,0.0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204.0,78.0
209,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: USA,0.907,0.393,4.0,-7.636,0.0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458.0,76.0
210,Save Your Tears,The Weeknd,Top Songs of 2021: USA,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0,85.0
211,positions,Ariana Grande,Top Songs of 2021: USA,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,172325.0,79.0
212,Drankin N Smokin,"Future, Lil Uzi Vert",Top Songs of 2021: USA,0.752,0.658,0.0,-6.297,1.0,0.342,0.0421,0.0,0.0927,0.387,151.951,213520.0,69.0
213,You're Mines Still,Yung Bleu,Top Songs of 2021: USA,0.615,0.594,5.0,-5.168,0.0,0.113,0.331,0.0,0.117,0.357,85.81,226220.0,42.0
214,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: USA,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667.0,78.0
215,What You Know Bout Love,Pop Smoke,Top Songs of 2021: USA,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000.0,77.0
216,HEARTBREAK ANNIVERSARY,GIVĒON,Top Songs of 2021: USA,0.443,0.459,0.0,-8.955,1.0,0.074,0.546,1.05e-06,0.307,0.565,87.064,198371.0,73.0
217,Time Today,Moneybagg Yo,Top Songs of 2021: USA,0.912,0.608,1.0,-7.686,1.0,0.397,0.0458,0.0,0.248,0.327,136.994,136900.0,66.0
218,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: USA,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064.0,80.0
219,Wockesha,Moneybagg Yo,Top Songs of 2021: USA,0.582,0.537,0.0,-9.229,1.0,0.619,0.129,0.0,0.0749,0.771,82.103,180930.0,63.0
220,Up,Cardi B,Top Songs of 2021: USA,0.868,0.795,11.0,-6.044,1.0,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945.0,69.0
221,Forever After All,Luke Combs,Top Songs of 2021: USA,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,232533.0,75.0
222,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Top Songs of 2021: USA,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,198082.0,80.0
223,Cry Baby (feat. DaBaby),Megan Thee Stallion,Top Songs of 2021: USA,0.957,0.437,11.0,-7.882,1.0,0.359,0.00402,0.0,0.219,0.616,130.058,137984.0,64.0
224,Blinding Lights,The Weeknd,Top Songs of 2021: USA,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,87.0
225,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2021: USA,0.935,0.454,1.0,-7.509,1.0,0.375,0.0194,0.0,0.0824,0.357,133.073,187541.0,76.0
226,Whoopty,CJ,Top Songs of 2021: USA,0.719,0.648,3.0,-7.6,0.0,0.125,0.2,0.0,0.127,0.66,140.201,123263.0,69.0
227,deja vu,Olivia Rodrigo,Top Songs of 2021: USA,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507.0,81.0
228,Martin & Gina,Polo G,Top Songs of 2021: USA,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,132833.0,78.0
229,Streets,Doja Cat,Top Songs of 2021: USA,0.749,0.463,11.0,-8.433,1.0,0.0842,0.21,0.0382,0.338,0.189,90.035,226987.0,79.0
230,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: USA,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0,83.0
231,Mood (feat. iann dior),24kGoldn,Top Songs of 2021: USA,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0,78.0
232,Laugh Now Cry Later (feat. Lil Durk),Drake,Top Songs of 2021: USA,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493.0,75.0
233,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2021: USA,0.755,0.578,0.0,-8.932,0.0,0.145,0.316,0.0,0.25,0.581,94.148,176960.0,73.0
234,Kacey Talk,YoungBoy Never Broke Again,Top Songs of 2021: USA,0.877,0.607,10.0,-7.818,0.0,0.15,0.535,0.0,0.138,0.773,127.055,151249.0,0.0
235,Street Runner,Rod Wave,Top Songs of 2021: USA,0.599,0.61,5.0,-8.633,0.0,0.24,0.213,0.000414,0.151,0.434,159.933,252021.0,67.0
236,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,Top Songs of 2021: USA,0.477,0.727,2.0,-4.053,1.0,0.286,0.000866,0.0,0.108,0.227,150.062,236524.0,73.0
237,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2021: USA,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0,79.0
238,Wasted On You,Morgan Wallen,Top Songs of 2021: USA,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520.0,80.0
239,Damage,H.E.R.,Top Songs of 2021: USA,0.646,0.696,1.0,-6.505,1.0,0.065,0.113,0.0,0.115,0.18,81.336,223415.0,59.0
240,Astronaut In The Ocean,Masked Wolf,Top Songs of 2021: USA,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,132780.0,74.0
241,Body,Megan Thee Stallion,Top Songs of 2021: USA,0.914,0.732,8.0,-6.1,0.0,0.241,0.0166,0.0,0.107,0.469,94.066,171067.0,67.0
242,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2021: USA,0.48,0.602,10.0,-6.335,0.0,0.368,0.487,0.0,0.0848,0.269,179.798,213333.0,74.0
243,No Role Modelz,J. Cole,Top Songs of 2021: USA,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,292799.0,85.0
244,What’s Next,Drake,Top Songs of 2021: USA,0.781,0.594,0.0,-6.959,0.0,0.0485,0.0136,0.0,0.162,0.0628,129.895,178154.0,70.0
245,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Top Songs of 2021: USA,0.846,0.48,8.0,-8.618,0.0,0.359,0.269,0.0,0.0989,0.419,143.029,169532.0,72.0
246,my ex's best friend,"Machine Gun Kelly, blackbear",Top Songs of 2021: USA,0.731,0.675,5.0,-5.134,0.0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,73.0
247,We Paid,"Lil Baby, 42 Dugg",Top Songs of 2021: USA,0.926,0.542,1.0,-5.064,1.0,0.293,0.135,0.0,0.0877,0.564,135.14,181929.0,70.0
248,34+35,Ariana Grande,Top Songs of 2021: USA,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,173711.0,76.0
250,Tombstone,Rod Wave,Top Songs of 2021: USA,0.55,0.637,8.0,-5.212,1.0,0.163,0.597,0.0,0.129,0.535,84.448,160078.0,66.0
251,The Box,Roddy Ricch,Top Songs of 2021: USA,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,78.0
252,Yes Indeed,"Lil Baby, Drake",Top Songs of 2021: USA,0.963,0.346,5.0,-9.309,0.0,0.53,0.0355,0.0,0.108,0.562,119.957,142273.0,78.0
253,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver",Top Songs of 2021: USA,0.8,0.658,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,195429.0,72.0
254,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2021: USA,0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,75.0
255,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: USA,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,161385.0,73.0
256,No Guidance (feat. Drake),Chris Brown,Top Songs of 2021: USA,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,75.0
257,7 Summers,Morgan Wallen,Top Songs of 2021: USA,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,210507.0,71.0
258,Somebody’s Problem,Morgan Wallen,Top Songs of 2021: USA,0.658,0.538,5.0,-7.676,1.0,0.0289,0.657,0.0,0.123,0.62,136.967,161773.0,68.0
259,Heat Waves,Glass Animals,Top Songs of 2021: USA,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,82.0
260,More Than My Hometown,Morgan Wallen,Top Songs of 2021: USA,0.62,0.869,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,216573.0,74.0
261,Tyler Herro,Jack Harlow,Top Songs of 2021: USA,0.792,0.793,5.0,-6.185,0.0,0.0841,0.0872,0.0,0.22,0.775,123.031,156578.0,70.0
262,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2021: USA,0.593,0.503,8.0,-6.725,0.0,0.22,0.293,0.0,0.405,0.71,178.781,137704.0,77.0
263,Cover Me Up,Morgan Wallen,Top Songs of 2021: USA,0.549,0.44,7.0,-8.192,1.0,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707.0,74.0
264,Sum 2 Prove,Lil Baby,Top Songs of 2021: USA,0.827,0.552,4.0,-7.571,0.0,0.274,0.0169,0.0,0.122,0.408,124.011,205760.0,68.0
265,Dior,Pop Smoke,Top Songs of 2021: USA,0.548,0.805,7.0,-5.732,1.0,0.351,0.212,0.000389,0.408,0.648,142.094,216387.0,79.0
266,Flex (feat. Juice WRLD),Polo G,Top Songs of 2021: USA,0.752,0.673,10.0,-5.792,0.0,0.153,0.0538,0.0,0.133,0.35,164.009,163902.0,70.0
267,Took Her to the O,King Von,Top Songs of 2021: USA,0.82,0.592,1.0,-7.002,1.0,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180.0,75.0
268,traitor,Olivia Rodrigo,Top Songs of 2021: USA,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,229227.0,82.0
269,Still Trappin',"Lil Durk, King Von",Top Songs of 2021: USA,0.877,0.679,5.0,-4.969,0.0,0.355,0.0458,0.0,0.0987,0.624,144.93,172185.0,66.0
270,Hellcats & Trackhawks,"Only The Family, Lil Durk",Top Songs of 2021: USA,0.841,0.672,1.0,-5.557,0.0,0.371,0.0122,0.0,0.321,0.599,157.026,146845.0,67.0
271,Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin",Top Songs of 2021: USA,0.647,0.667,5.0,-5.563,1.0,0.304,0.231,0.0,0.133,0.704,172.08,193839.0,70.0
272,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Top Songs of 2021: USA,0.49,0.618,1.0,-5.655,1.0,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600.0,70.0
274,Sand In My Boots,Morgan Wallen,Top Songs of 2021: USA,0.403,0.537,3.0,-6.628,1.0,0.031,0.59,0.0,0.112,0.414,69.877,202133.0,73.0
275,Hats Off,"Lil Baby, Lil Durk, Travis Scott",Top Songs of 2021: USA,0.596,0.65,9.0,-5.167,1.0,0.337,0.138,0.0,0.14,0.188,133.997,257428.0,64.0
276,Track Star,Mooski,Top Songs of 2021: USA,0.641,0.598,7.0,-5.7,0.0,0.324,0.381,0.0,0.0921,0.285,131.459,199706.0,55.0
277,Emotionally Scarred,Lil Baby,Top Songs of 2021: USA,0.585,0.641,6.0,-4.269,0.0,0.133,0.0286,0.0,0.316,0.266,88.284,197530.0,69.0
278,Best Friend (feat. Doja Cat),Saweetie,Top Songs of 2021: USA,0.84,0.766,4.0,-4.12,1.0,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884.0,69.0
279,Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna",Top Songs of 2021: USA,0.887,0.485,11.0,-9.358,0.0,0.2,0.0392,0.0,0.141,0.328,125.987,215693.0,69.0
280,Whiskey Glasses,Morgan Wallen,Top Songs of 2021: USA,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347.0,77.0
281,goosebumps,Travis Scott,Top Songs of 2021: USA,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,243837.0,80.0
282,Said Sum (Remix) [feat. City Girls & DaBaby],Moneybagg Yo,Top Songs of 2021: USA,0.913,0.625,10.0,-6.901,0.0,0.334,0.0168,0.0,0.125,0.298,126.915,177704.0,55.0
283,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2021: USA,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,158040.0,79.0
284,Life Is Good (feat. Drake),Future,Top Songs of 2021: USA,0.676,0.609,2.0,-5.831,0.0,0.481,0.0706,0.0,0.152,0.508,142.037,237735.0,73.0
286,Ski,"Young Stoner Life, Young Thug, Gunna",Top Songs of 2021: USA,0.953,0.621,8.0,-7.638,0.0,0.221,0.017,0.0,0.0398,0.883,123.016,152333.0,64.0
287,Richer (feat. Polo G),Rod Wave,Top Songs of 2021: USA,0.726,0.411,1.0,-12.929,1.0,0.0671,0.438,0.0,0.087,0.734,137.905,190459.0,63.0
288,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2021: USA,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,81.0
289,24 (feat. Lil Baby),Money Man,Top Songs of 2021: USA,0.868,0.638,2.0,-7.746,1.0,0.0736,0.146,0.0565,0.0931,0.459,126.03,182857.0,69.0
290,Real As It Gets (feat. EST Gee),Lil Baby,Top Songs of 2021: USA,0.779,0.705,6.0,-5.891,0.0,0.163,0.00471,0.0,0.0971,0.196,140.005,192804.0,63.0
291,m y . l i f e,"J. Cole, 21 Savage, Morray",Top Songs of 2021: USA,0.597,0.587,7.0,-7.026,0.0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802.0,75.0
292,Lemon Pepper Freestyle (feat. Rick Ross),Drake,Top Songs of 2021: USA,0.77,0.637,1.0,-5.53,1.0,0.345,0.103,0.0,0.171,0.431,94.966,383037.0,65.0
293,Hard for the Next,"Moneybagg Yo, Future",Top Songs of 2021: USA,0.639,0.564,1.0,-7.326,1.0,0.389,0.0329,0.0,0.228,0.375,175.053,166326.0,52.0
294,Need To Know,Doja Cat,Top Songs of 2021: USA,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,210560.0,78.0
295,Still Goin' Down,Morgan Wallen,Top Songs of 2021: USA,0.58,0.752,7.0,-5.078,1.0,0.0267,0.49,0.0,0.277,0.72,148.108,186293.0,63.0
296,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: USA,0.619,0.241,11.0,-7.102,0.0,0.046,0.9,0.0,0.116,0.0719,79.461,149190.0,69.0
297,Beautiful Crazy,Luke Combs,Top Songs of 2021: USA,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,193200.0,76.0
298,late at night,Roddy Ricch,Top Songs of 2021: USA,0.621,0.405,1.0,-11.26,0.0,0.437,0.382,0.0,0.152,0.141,98.427,174549.0,66.0
299,pov,Ariana Grande,Top Songs of 2021: USA,0.487,0.534,0.0,-5.664,0.0,0.0555,0.36,0.0,0.1,0.173,131.798,201882.0,72.0
300,WAIT FOR U (feat. Drake & Tems),Future,Top Songs of 2022: USA,0.463,0.642,1.0,-4.474,1.0,0.34,0.314,0.0,0.0686,0.339,83.389,189893.0,83.0
301,Super Gremlin,Kodak Black,Top Songs of 2022: USA,0.825,0.414,2.0,-6.634,1.0,0.144,0.00265,0.0,0.357,0.106,72.993,200548.0,71.0
302,Me Porto Bonito,"Bad Bunny, Chencho Corleone",Top Songs of 2022: USA,0.911,0.712,1.0,-5.105,0.0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567.0,89.0
303,pushin P (feat. Young Thug),"Gunna, Future",Top Songs of 2022: USA,0.773,0.422,1.0,-4.572,0.0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267.0,74.0
304,As It Was,Harry Styles,Top Songs of 2022: USA,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303.0,89.0
305,Tití Me Preguntó,Bad Bunny,Top Songs of 2022: USA,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717.0,88.0
306,First Class,Jack Harlow,Top Songs of 2022: USA,0.902,0.582,5.0,-5.902,0.0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948.0,80.0
307,In A Minute,Lil Baby,Top Songs of 2022: USA,0.626,0.583,4.0,-6.102,0.0,0.334,0.0279,0.0,0.112,0.133,113.42,200471.0,67.0
309,Easy On Me,Adele,Top Songs of 2022: USA,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,224695.0,81.0
310,Jimmy Cooks (feat. 21 Savage),Drake,Top Songs of 2022: USA,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,85.0
311,Hrs & Hrs,Muni Long,Top Songs of 2022: USA,0.52,0.546,8.0,-4.991,0.0,0.213,0.579,0.0,0.112,0.634,137.419,204317.0,73.0
312,Broadway Girls (feat. Morgan Wallen),Lil Durk,Top Songs of 2022: USA,0.659,0.745,10.0,-3.599,1.0,0.0347,0.0417,0.0,0.296,0.54,74.967,185600.0,70.0
313,I Hate U,SZA,Top Songs of 2022: USA,0.533,0.417,7.0,-8.665,0.0,0.148,0.514,0.0,0.114,0.376,106.534,173907.0,76.0
314,What Happened To Virgil (feat. Gunna),Lil Durk,Top Songs of 2022: USA,0.795,0.526,6.0,-9.086,0.0,0.204,0.067,2e-06,0.134,0.194,140.037,181393.0,69.0
315,Heat Waves,Glass Animals,Top Songs of 2022: USA,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,82.0
316,PUFFIN ON ZOOTIEZ,Future,Top Songs of 2022: USA,0.883,0.657,8.0,-5.748,1.0,0.305,0.0603,0.0,0.128,0.284,124.992,172933.0,76.0
