,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
36,Close Friends,Lil Baby,Top Songs of 2019: USA,0.676,0.578,10.0,-4.669,0.0,0.375,0.0509,0.0,0.0796,0.698,158.896,203881.0,71.0
37,Nonstop,Drake,Top Songs of 2019: USA,0.912,0.412,7.0,-8.074,1.0,0.123,0.0165,0.0126,0.104,0.423,154.983,238614.0,75.0
38,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2019: USA,0.548,0.653,5.0,-3.875,1.0,0.081,0.456,0.0,0.103,0.163,150.068,174853.0,76.0
39,Sanguine Paradise,Lil Uzi Vert,Top Songs of 2019: USA,0.729,0.603,6.0,-6.736,0.0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976.0,68.0
40,Happier,"Marshmello, Bastille",Top Songs of 2019: USA,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,214290.0,79.0
41,MÍA (feat. Drake),Bad Bunny,Top Songs of 2019: USA,0.817,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.061,210368.0,47.0
42,Calling My Spirit,Kodak Black,Top Songs of 2019: USA,0.91,0.366,1.0,-9.954,1.0,0.0941,0.0996,0.0,0.261,0.74,119.985,152000.0,67.0
43,Pure Water,"Mustard, Migos",Top Songs of 2019: USA,0.682,0.559,0.0,-5.545,1.0,0.127,0.174,0.0,0.344,0.137,202.015,192471.0,72.0
44,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",Top Songs of 2019: USA,0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.359,0.367,143.01,204665.0,73.0
45,Lucid Dreams,Juice WRLD,Top Songs of 2019: USA,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,81.0
46,Mixed Personalities (feat. Kanye West),YNW Melly,Top Songs of 2019: USA,0.661,0.44,2.0,-9.104,1.0,0.0803,0.457,0.0,0.128,0.352,149.937,230400.0,66.0
47,Worth It,YK Osiris,Top Songs of 2019: USA,0.749,0.535,5.0,-4.054,0.0,0.0638,0.517,0.0,0.0942,0.459,124.008,189253.0,61.0
48,Baby,"Quality Control, Lil Baby, DaBaby",Top Songs of 2019: USA,0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,142417.0,73.0
49,Speechless,Dan + Shay,Top Songs of 2019: USA,0.616,0.438,1.0,-5.968,1.0,0.0298,0.356,0.0,0.24,0.386,135.929,213387.0,68.0
50,Die Young,Roddy Ricch,Top Songs of 2019: USA,0.687,0.656,4.0,-5.541,0.0,0.276,0.218,0.0,0.115,0.365,160.416,157657.0,0.0
