,songs,artist,title
94,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,Top Songs of 2019: USA
95,EARFQUAKE,"Tyler, The Creator",Top Songs of 2019: USA
96,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Top Songs of 2019: USA
97,can't leave without it,21 Savage,Top Songs of 2019: USA
98,I Fall Apart,Post Malone,Top Songs of 2019: USA
99,God's Plan,Drake,Top Songs of 2019: USA
0,The Box,Roddy Ricch,Top Songs of 2020: USA
1,Woah,Lil Baby,Top Songs of 2020: USA
2,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2020: USA
3,Life Is Good (feat. Drake),Future,Top Songs of 2020: USA
4,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2020: USA
5,High Fashion (feat. Mustard),Roddy Ricch,Top Songs of 2020: USA
6,Blinding Lights,The Weeknd,Top Songs of 2020: USA
7,Sum 2 Prove,Lil Baby,Top Songs of 2020: USA
8,BOP,DaBaby,Top Songs of 2020: USA
9,Bandit,"Juice WRLD, YoungBoy Never Broke Again",Top Songs of 2020: USA
10,Circles,Post Malone,Top Songs of 2020: USA
11,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2020: USA
12,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: USA
13,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: USA
14,We Paid,"Lil Baby, 42 Dugg",Top Songs of 2020: USA
15,ROXANNE,Arizona Zervas,Top Songs of 2020: USA
16,Start wit Me (feat. Gunna),Roddy Ricch,Top Songs of 2020: USA
17,Dance Monkey,Tones And I,Top Songs of 2020: USA
18,Baby,"Quality Control, Lil Baby, DaBaby",Top Songs of 2020: USA
19,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2020: USA
20,VIBEZ,DaBaby,Top Songs of 2020: USA
21,everything i wanted,Billie Eilish,Top Songs of 2020: USA
22,Toosie Slide,Drake,Top Songs of 2020: USA
23,Emotionally Scarred,Lil Baby,Top Songs of 2020: USA
24,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",Top Songs of 2020: USA
25,Make No Sense,YoungBoy Never Broke Again,Top Songs of 2020: USA
26,Don't Start Now,Dua Lipa,Top Songs of 2020: USA
27,Someone You Loved,Lewis Capaldi,Top Songs of 2020: USA
28,Blueberry Faygo,Lil Mosey,Top Songs of 2020: USA
29,Heartless,The Weeknd,Top Songs of 2020: USA
30,Adore You,Harry Styles,Top Songs of 2020: USA
31,Heartless (feat. Morgan Wallen),Diplo,Top Songs of 2020: USA
32,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,Top Songs of 2020: USA
33,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2020: USA
34,P*$$Y Fairy (OTW),Jhené Aiko,Top Songs of 2020: USA
35,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2020: USA
36,Falling,Trevor Daniel,Top Songs of 2020: USA
37,Watermelon Sugar,Harry Styles,Top Songs of 2020: USA
38,Playing Games (Extended Version),"Summer Walker, Bryson Tiller",Top Songs of 2020: USA
39,WHATS POPPIN,Jack Harlow,Top Songs of 2020: USA
40,Dior,Pop Smoke,Top Songs of 2020: USA
41,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2020: USA
42,Lose You to Love Me,Selena Gomez,Top Songs of 2020: USA
43,Heart on Ice,Rod Wave,Top Songs of 2020: USA
44,Suicidal,YNW Melly,Top Songs of 2020: USA
45,Grace,"Lil Baby, 42 Dugg",Top Songs of 2020: USA
46,hot girl bummer,blackbear,Top Songs of 2020: USA
47,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2020: USA
48,I'll Kill You (feat. Jhené Aiko),Summer Walker,Top Songs of 2020: USA
49,Come Thru,"Summer Walker, Usher",Top Songs of 2020: USA
50,Commercial (feat. Lil Uzi Vert),Lil Baby,Top Songs of 2020: USA
51,Vete,Bad Bunny,Top Songs of 2020: USA
52,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: USA
53,No Idea,Don Toliver,Top Songs of 2020: USA
54,Laugh Now Cry Later (feat. Lil Durk),Drake,Top Songs of 2020: USA
55,I Hope,Gabby Barrett,Top Songs of 2020: USA
56,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2020: USA
57,Bacc Seat (feat. Ty Dolla $ign),Roddy Ricch,Top Songs of 2020: USA
58,Chasin' You,Morgan Wallen,Top Songs of 2020: USA
59,Hot (feat. Gunna),Young Thug,Top Songs of 2020: USA
60,Hot Now,YoungBoy Never Broke Again,Top Songs of 2020: USA
61,Futsal Shuffle 2020,Lil Uzi Vert,Top Songs of 2020: USA
62,The Bigger Picture,Lil Baby,Top Songs of 2020: USA
63,Chicago Freestyle,"Drake, GIVĒON",Top Songs of 2020: USA
64,Suge,DaBaby,Top Songs of 2020: USA
65,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2020: USA
66,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2020: USA
67,Lucid Dreams,Juice WRLD,Top Songs of 2020: USA
68,Body,Summer Walker,Top Songs of 2020: USA
69,Savage Remix (feat. Beyoncé),Megan Thee Stallion,Top Songs of 2020: USA
70,Tip Toe (feat. A Boogie wit da Hoodie),Roddy Ricch,Top Songs of 2020: USA
71,SICKO MODE,Travis Scott,Top Songs of 2020: USA
72,Heatin Up,"Lil Baby, Gunna",Top Songs of 2020: USA
73,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Top Songs of 2020: USA
74,Sunday Best,Surfaces,Top Songs of 2020: USA
75,Robbery,Juice WRLD,Top Songs of 2020: USA
76,Godzilla (feat. Juice WRLD),Eminem,Top Songs of 2020: USA
77,BEST ON EARTH (feat. BIA) [Bonus],Russ,Top Songs of 2020: USA
78,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2020: USA
79,Cash Shit (feat. DaBaby),Megan Thee Stallion,Top Songs of 2020: USA
80,Lonely Child,YoungBoy Never Broke Again,Top Songs of 2020: USA
81,bad guy,Billie Eilish,Top Songs of 2020: USA
82,Whiskey Glasses,Morgan Wallen,Top Songs of 2020: USA
83,Say So,Doja Cat,Top Songs of 2020: USA
84,Memories,Maroon 5,Top Songs of 2020: USA
85,Flex (feat. Juice WRLD),Polo G,Top Songs of 2020: USA
86,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: USA
87,Before You Go,Lewis Capaldi,Top Songs of 2020: USA
88,F.N,Lil Tjay,Top Songs of 2020: USA
89,Yes Indeed,"Lil Baby, Drake",Top Songs of 2020: USA
90,Party Girl,StaySolidRocky,Top Songs of 2020: USA
91,Big Stepper,Roddy Ricch,Top Songs of 2020: USA
92,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Top Songs of 2020: USA
93,Jerry Sprunger,"Tory Lanez, T-Pain",Top Songs of 2020: USA
94,Slide (feat. YG),H.E.R.,Top Songs of 2020: USA
95,Yummy,Justin Bieber,Top Songs of 2020: USA
96,Bad Bad Bad (feat. Lil Baby),Young Thug,Top Songs of 2020: USA
97,The London (feat. J. Cole & Travis Scott),Young Thug,Top Songs of 2020: USA
98,Truth Hurts,Lizzo,Top Songs of 2020: USA
99,Savage,Megan Thee Stallion,Top Songs of 2020: USA
0,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2021: USA
1,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2021: USA
2,Back in Blood (feat. Lil Durk),Pooh Shiesty,Top Songs of 2021: USA
3,drivers license,Olivia Rodrigo,Top Songs of 2021: USA
4,On Me,Lil Baby,Top Songs of 2021: USA
5,Dakiti,"Bad Bunny, Jhayco",Top Songs of 2021: USA
6,RAPSTAR,Polo G,Top Songs of 2021: USA
7,good 4 u,Olivia Rodrigo,Top Songs of 2021: USA
8,Good Days,SZA,Top Songs of 2021: USA
9,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: USA
10,Save Your Tears,The Weeknd,Top Songs of 2021: USA
11,positions,Ariana Grande,Top Songs of 2021: USA
12,Drankin N Smokin,"Future, Lil Uzi Vert",Top Songs of 2021: USA
13,You're Mines Still,Yung Bleu,Top Songs of 2021: USA
14,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: USA
15,What You Know Bout Love,Pop Smoke,Top Songs of 2021: USA
16,HEARTBREAK ANNIVERSARY,GIVĒON,Top Songs of 2021: USA
17,Time Today,Moneybagg Yo,Top Songs of 2021: USA
18,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: USA
19,Wockesha,Moneybagg Yo,Top Songs of 2021: USA
20,Up,Cardi B,Top Songs of 2021: USA
21,Forever After All,Luke Combs,Top Songs of 2021: USA
22,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Top Songs of 2021: USA
23,Cry Baby (feat. DaBaby),Megan Thee Stallion,Top Songs of 2021: USA
24,Blinding Lights,The Weeknd,Top Songs of 2021: USA
25,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2021: USA
26,Whoopty,CJ,Top Songs of 2021: USA
27,deja vu,Olivia Rodrigo,Top Songs of 2021: USA
28,Martin & Gina,Polo G,Top Songs of 2021: USA
29,Streets,Doja Cat,Top Songs of 2021: USA
30,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: USA
31,Mood (feat. iann dior),24kGoldn,Top Songs of 2021: USA
32,Laugh Now Cry Later (feat. Lil Durk),Drake,Top Songs of 2021: USA
33,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2021: USA
34,Kacey Talk,YoungBoy Never Broke Again,Top Songs of 2021: USA
35,Street Runner,Rod Wave,Top Songs of 2021: USA
36,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,Top Songs of 2021: USA
37,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2021: USA
38,Wasted On You,Morgan Wallen,Top Songs of 2021: USA
39,Damage,H.E.R.,Top Songs of 2021: USA
40,Astronaut In The Ocean,Masked Wolf,Top Songs of 2021: USA
41,Body,Megan Thee Stallion,Top Songs of 2021: USA
42,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2021: USA
43,No Role Modelz,J. Cole,Top Songs of 2021: USA
44,What’s Next,Drake,Top Songs of 2021: USA
45,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Top Songs of 2021: USA
46,my ex's best friend,"Machine Gun Kelly, blackbear",Top Songs of 2021: USA
47,We Paid,"Lil Baby, 42 Dugg",Top Songs of 2021: USA
48,34+35,Ariana Grande,Top Songs of 2021: USA
49,Way 2 Sexy (feat. Future & Young Thug),Drake,Top Songs of 2021: USA
50,Tombstone,Rod Wave,Top Songs of 2021: USA
51,The Box,Roddy Ricch,Top Songs of 2021: USA
52,Yes Indeed,"Lil Baby, Drake",Top Songs of 2021: USA
53,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver",Top Songs of 2021: USA
54,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2021: USA
55,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: USA
56,No Guidance (feat. Drake),Chris Brown,Top Songs of 2021: USA
57,7 Summers,Morgan Wallen,Top Songs of 2021: USA
58,Somebody’s Problem,Morgan Wallen,Top Songs of 2021: USA
59,Heat Waves,Glass Animals,Top Songs of 2021: USA
60,More Than My Hometown,Morgan Wallen,Top Songs of 2021: USA
61,Tyler Herro,Jack Harlow,Top Songs of 2021: USA
62,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2021: USA
63,Cover Me Up,Morgan Wallen,Top Songs of 2021: USA
64,Sum 2 Prove,Lil Baby,Top Songs of 2021: USA
65,Dior,Pop Smoke,Top Songs of 2021: USA
66,Flex (feat. Juice WRLD),Polo G,Top Songs of 2021: USA
67,Took Her to the O,King Von,Top Songs of 2021: USA
68,traitor,Olivia Rodrigo,Top Songs of 2021: USA
69,Still Trappin',"Lil Durk, King Von",Top Songs of 2021: USA
70,Hellcats & Trackhawks,"Only The Family, Lil Durk",Top Songs of 2021: USA
71,Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin",Top Songs of 2021: USA
72,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Top Songs of 2021: USA
73,Knife Talk (feat. 21 Savage & Project Pat),Drake,Top Songs of 2021: USA
74,Sand In My Boots,Morgan Wallen,Top Songs of 2021: USA
75,Hats Off,"Lil Baby, Lil Durk, Travis Scott",Top Songs of 2021: USA
76,Track Star,Mooski,Top Songs of 2021: USA
77,Emotionally Scarred,Lil Baby,Top Songs of 2021: USA
78,Best Friend (feat. Doja Cat),Saweetie,Top Songs of 2021: USA
