,songs,artist,title
6,bad guy,Billie Eilish,Top Songs of 2019: New Zealand
7,Without Me,Halsey,Top Songs of 2019: New Zealand
8,Shotgun,George Ezra,Top Songs of 2019: New Zealand
9,Better,Khalid,Top Songs of 2019: New Zealand
10,7 rings,Ariana Grande,Top Songs of 2019: New Zealand
11,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2019: New Zealand
12,Body (feat. Brando),Loud Luxury,Top Songs of 2019: New Zealand
13,Happier,"Marshmello, Bastille",Top Songs of 2019: New Zealand
14,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2019: New Zealand
15,Wow.,Post Malone,Top Songs of 2019: New Zealand
16,Dancing With A Stranger,"Sam Smith, Normani",Top Songs of 2019: New Zealand
17,Talk,Khalid,Top Songs of 2019: New Zealand
18,when the party's over,Billie Eilish,Top Songs of 2019: New Zealand
19,Someone You Loved,Lewis Capaldi,Top Songs of 2019: New Zealand
20,Sucker,Jonas Brothers,Top Songs of 2019: New Zealand
21,Saturday Nights,Khalid,Top Songs of 2019: New Zealand
22,SICKO MODE,Travis Scott,Top Songs of 2019: New Zealand
23,Always Remember Us This Way,Lady Gaga,Top Songs of 2019: New Zealand
24,3 Nights,Dominic Fike,Top Songs of 2019: New Zealand
25,bury a friend,Billie Eilish,Top Songs of 2019: New Zealand
26,Vibes,SIX60,Top Songs of 2019: New Zealand
27,"break up with your girlfriend, i'm bored",Ariana Grande,Top Songs of 2019: New Zealand
28,Soaked,BENEE,Top Songs of 2019: New Zealand
29,Promises,"Calvin Harris, Sam Smith",Top Songs of 2019: New Zealand
30,Youngblood,5 Seconds of Summer,Top Songs of 2019: New Zealand
31,Girls Like You (feat. Cardi B),Maroon 5,Top Songs of 2019: New Zealand
32,Bad Liar,Imagine Dragons,Top Songs of 2019: New Zealand
33,Let You Love Me,Rita Ora,Top Songs of 2019: New Zealand
34,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2019: New Zealand
35,Be Alright,Dean Lewis,Top Songs of 2019: New Zealand
36,Don't Call Me Up,Mabel,Top Songs of 2019: New Zealand
37,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Top Songs of 2019: New Zealand
38,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: New Zealand
39,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,Top Songs of 2019: New Zealand
40,Truth Hurts,Lizzo,Top Songs of 2019: New Zealand
41,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: New Zealand
42,lovely,"Billie Eilish, Khalid",Top Songs of 2019: New Zealand
43,Shape of You,Ed Sheeran,Top Songs of 2019: New Zealand
44,Dance Monkey,Tones And I,Top Songs of 2019: New Zealand
45,Giant,"Calvin Harris, Rag'n'Bone Man",Top Songs of 2019: New Zealand
46,I'm So Tired...,"Lauv, Troye Sivan",Top Songs of 2019: New Zealand
47,ZEZE (feat. Travis Scott & Offset),Kodak Black,Top Songs of 2019: New Zealand
48,Better Now,Post Malone,Top Songs of 2019: New Zealand
49,Going Bad (feat. Drake),Meek Mill,Top Songs of 2019: New Zealand
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,Top Songs of 2019: New Zealand
51,Leave a Light On,Tom Walker,Top Songs of 2019: New Zealand
52,wish you were gay,Billie Eilish,Top Songs of 2019: New Zealand
53,ocean eyes,Billie Eilish,Top Songs of 2019: New Zealand
54,MIDDLE CHILD,J. Cole,Top Songs of 2019: New Zealand
55,It's You,Ali Gatie,Top Songs of 2019: New Zealand
56,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Top Songs of 2019: New Zealand
57,You Need To Calm Down,Taylor Swift,Top Songs of 2019: New Zealand
58,Love Someone,Lukas Graham,Top Songs of 2019: New Zealand
59,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2019: New Zealand
60,Bohemian Rhapsody,Queen,Top Songs of 2019: New Zealand
61,Lost in Japan (Remix),"Shawn Mendes, Zedd",Top Songs of 2019: New Zealand
62,If I Can't Have You,Shawn Mendes,Top Songs of 2019: New Zealand
63,Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",Top Songs of 2019: New Zealand
64,Taste (feat. Offset),Tyga,Top Songs of 2019: New Zealand
65,Nights Like This (feat. Ty Dolla $ign),Kehlani,Top Songs of 2019: New Zealand
66,Here With Me (feat. CHVRCHES),Marshmello,Top Songs of 2019: New Zealand
67,Don't Give It Up,SIX60,Top Songs of 2019: New Zealand
68,Thunder,Imagine Dragons,Top Songs of 2019: New Zealand
69,How Do You Sleep?,Sam Smith,Top Songs of 2019: New Zealand
70,Walk Me Home,P!nk,Top Songs of 2019: New Zealand
71,The Greatest,SIX60,Top Songs of 2019: New Zealand
72,High Hopes,Panic! At the Disco,Top Songs of 2019: New Zealand
73,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,Top Songs of 2019: New Zealand
74,In My Mind,"Dynoro, Gigi D'Agostino",Top Songs of 2019: New Zealand
75,Old Town Road,Lil Nas X,Top Songs of 2019: New Zealand
76,rockstar (feat. 21 Savage),Post Malone,Top Songs of 2019: New Zealand
77,Close to Me,"Ellie Goulding, Diplo, Swae Lee",Top Songs of 2019: New Zealand
78,imagine,Ariana Grande,Top Songs of 2019: New Zealand
79,Please Me,"Cardi B, Bruno Mars",Top Songs of 2019: New Zealand
80,The Git Up,Blanco Brown,Top Songs of 2019: New Zealand
81,Money,Cardi B,Top Songs of 2019: New Zealand
82,Nevermind,Dennis Lloyd,Top Songs of 2019: New Zealand
83,Whatchamacallit (feat. Chris Brown),Ella Mai,Top Songs of 2019: New Zealand
84,Perfect,Ed Sheeran,Top Songs of 2019: New Zealand
85,SOS (feat. Aloe Blacc),Avicii,Top Songs of 2019: New Zealand
86,idontwannabeyouanymore,Billie Eilish,Top Songs of 2019: New Zealand
87,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Top Songs of 2019: New Zealand
88,Praise The Lord (Da Shine) [feat. Skepta],A$AP Rocky,Top Songs of 2019: New Zealand
89,Circles,Post Malone,Top Songs of 2019: New Zealand
90,breathin,Ariana Grande,Top Songs of 2019: New Zealand
91,Closer,SIX60,Top Songs of 2019: New Zealand
92,I Don’t Belong in This Club,"Why Don't We, Macklemore",Top Songs of 2019: New Zealand
93,Dreams,Fleetwood Mac,Top Songs of 2019: New Zealand
94,bellyache,Billie Eilish,Top Songs of 2019: New Zealand
95,Electricity (feat. Diplo & Mark Ronson),"Silk City, Dua Lipa",Top Songs of 2019: New Zealand
96,So Close (feat. Georgia Ku),"NOTD, Felix Jaehn, Captain Cuts",Top Songs of 2019: New Zealand
97,Havana (feat. Young Thug),Camila Cabello,Top Songs of 2019: New Zealand
98,I Fall Apart,Post Malone,Top Songs of 2019: New Zealand
99,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: New Zealand
0,Dance Monkey,Tones And I,Top Songs of 2020: New Zealand
1,Blinding Lights,The Weeknd,Top Songs of 2020: New Zealand
2,Don't Start Now,Dua Lipa,Top Songs of 2020: New Zealand
3,In the Air,L.A.B,Top Songs of 2020: New Zealand
4,Circles,Post Malone,Top Songs of 2020: New Zealand
5,Glitter,BENEE,Top Songs of 2020: New Zealand
6,Memories,Maroon 5,Top Songs of 2020: New Zealand
7,Watermelon Sugar,Harry Styles,Top Songs of 2020: New Zealand
8,Someone You Loved,Lewis Capaldi,Top Songs of 2020: New Zealand
9,Please Don't Go,SIX60,Top Songs of 2020: New Zealand
10,ROXANNE,Arizona Zervas,Top Songs of 2020: New Zealand
11,Catching Feelings (feat. SIX60),Drax Project,Top Songs of 2020: New Zealand
12,Adore You,Harry Styles,Top Songs of 2020: New Zealand
13,Ride It,Regard,Top Songs of 2020: New Zealand
14,The Greatest,SIX60,Top Songs of 2020: New Zealand
15,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2020: New Zealand
16,Before You Go,Lewis Capaldi,Top Songs of 2020: New Zealand
17,Say So,Doja Cat,Top Songs of 2020: New Zealand
18,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2020: New Zealand
19,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2020: New Zealand
20,The Box,Roddy Ricch,Top Songs of 2020: New Zealand
21,everything i wanted,Billie Eilish,Top Songs of 2020: New Zealand
22,Long Gone,SIX60,Top Songs of 2020: New Zealand
23,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2020: New Zealand
24,bad guy,Billie Eilish,Top Songs of 2020: New Zealand
25,Supalonely (feat. Gus Dapperton),BENEE,Top Songs of 2020: New Zealand
26,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2020: New Zealand
27,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2020: New Zealand
28,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2020: New Zealand
29,Yummy,Justin Bieber,Top Songs of 2020: New Zealand
30,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2020: New Zealand
31,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: New Zealand
32,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Top Songs of 2020: New Zealand
33,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2020: New Zealand
34,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,Top Songs of 2020: New Zealand
35,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2020: New Zealand
36,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2020: New Zealand
37,Physical,Dua Lipa,Top Songs of 2020: New Zealand
38,Never Enough,SIX60,Top Songs of 2020: New Zealand
39,Stuck with U,"Ariana Grande, Justin Bieber",Top Songs of 2020: New Zealand
40,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: New Zealand
41,Lose You to Love Me,Selena Gomez,Top Songs of 2020: New Zealand
42,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2020: New Zealand
43,Know Your Worth,"Khalid, Disclosure",Top Songs of 2020: New Zealand
44,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: New Zealand
45,Post Malone (feat. RANI),Sam Feldt,Top Songs of 2020: New Zealand
46,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2020: New Zealand
47,Rain On Me,"Lady Gaga, Ariana Grande",Top Songs of 2020: New Zealand
48,Falling,Harry Styles,Top Songs of 2020: New Zealand
49,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2020: New Zealand
50,Shotgun,George Ezra,Top Songs of 2020: New Zealand
51,Sunday Best,Surfaces,Top Songs of 2020: New Zealand
52,hot girl bummer,blackbear,Top Songs of 2020: New Zealand
53,Break My Heart,Dua Lipa,Top Songs of 2020: New Zealand
54,You should be sad,Halsey,Top Songs of 2020: New Zealand
55,Raining,SIX60,Top Songs of 2020: New Zealand
56,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: New Zealand
57,death bed (feat. beabadoobee) [coffee for your head],Powfu,Top Songs of 2020: New Zealand
58,Toosie Slide,Drake,Top Songs of 2020: New Zealand
59,Dreams,Fleetwood Mac,Top Songs of 2020: New Zealand
60,This City,Sam Fischer,Top Songs of 2020: New Zealand
61,Trampoline,"SHAED, ZAYN",Top Songs of 2020: New Zealand
62,SUGAR,BROCKHAMPTON,Top Songs of 2020: New Zealand
63,Shape of You,Ed Sheeran,Top Songs of 2020: New Zealand
64,Bruises,Lewis Capaldi,Top Songs of 2020: New Zealand
65,Life Is Good (feat. Drake),Future,Top Songs of 2020: New Zealand
66,Engineers,Hp Boyz,Top Songs of 2020: New Zealand
67,ocean eyes,Billie Eilish,Top Songs of 2020: New Zealand
68,Body (feat. brando),Loud Luxury,Top Songs of 2020: New Zealand
69,Graveyard,Halsey,Top Songs of 2020: New Zealand
70,Rover (feat. DTG),S1mba,Top Songs of 2020: New Zealand
71,Falling,Trevor Daniel,Top Songs of 2020: New Zealand
72,Godzilla (feat. Juice WRLD),Eminem,Top Songs of 2020: New Zealand
73,Lights Up,Harry Styles,Top Songs of 2020: New Zealand
74,when the party's over,Billie Eilish,Top Songs of 2020: New Zealand
75,Controller,L.A.B,Top Songs of 2020: New Zealand
76,Soaked,BENEE,Top Songs of 2020: New Zealand
77,My Oh My (feat. DaBaby),Camila Cabello,Top Songs of 2020: New Zealand
78,Higher Love,"Kygo, Whitney Houston",Top Songs of 2020: New Zealand
79,Breaking Me,"Topic, A7S",Top Songs of 2020: New Zealand
80,3 Nights,Dominic Fike,Top Songs of 2020: New Zealand
81,Misunderstood,Youngn Lipz,Top Songs of 2020: New Zealand
82,Vibes,SIX60,Top Songs of 2020: New Zealand
83,Blueberry Faygo,Lil Mosey,Top Songs of 2020: New Zealand
84,Find an Island,BENEE,Top Songs of 2020: New Zealand
85,SICKO MODE,Travis Scott,Top Songs of 2020: New Zealand
86,Happier,"Marshmello, Bastille",Top Songs of 2020: New Zealand
87,Sucker,Jonas Brothers,Top Songs of 2020: New Zealand
88,Piece Of Your Heart,"Meduza, Goodboys",Top Songs of 2020: New Zealand
89,What a Man Gotta Do,Jonas Brothers,Top Songs of 2020: New Zealand
90,Don't Call Me Up,Mabel,Top Songs of 2020: New Zealand
91,Dancing With A Stranger,"Sam Smith, Normani",Top Songs of 2020: New Zealand
92,Lover,Taylor Swift,Top Songs of 2020: New Zealand
93,Like That (feat. Gucci Mane),Doja Cat,Top Songs of 2020: New Zealand
94,Truth Hurts,Lizzo,Top Songs of 2020: New Zealand
95,Ghosts,SIX60,Top Songs of 2020: New Zealand
96,lovely,"Billie Eilish, Khalid",Top Songs of 2020: New Zealand
97,Better,Khalid,Top Songs of 2020: New Zealand
98,Don't Give It Up,SIX60,Top Songs of 2020: New Zealand
99,Sundown,SIX60,Top Songs of 2020: New Zealand
0,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: New Zealand
1,drivers license,Olivia Rodrigo,Top Songs of 2021: New Zealand
2,Blinding Lights,The Weeknd,Top Songs of 2021: New Zealand
3,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: New Zealand
4,positions,Ariana Grande,Top Songs of 2021: New Zealand
5,Heat Waves,Glass Animals,Top Songs of 2021: New Zealand
6,In the Air,L.A.B,Top Songs of 2021: New Zealand
7,Head & Heart (feat. MNEK),Joel Corry,Top Songs of 2021: New Zealand
8,Mood (feat. iann dior),24kGoldn,Top Songs of 2021: New Zealand
9,Dreams,Fleetwood Mac,Top Songs of 2021: New Zealand
10,good 4 u,Olivia Rodrigo,Top Songs of 2021: New Zealand
11,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Top Songs of 2021: New Zealand
12,Why Oh Why,L.A.B,Top Songs of 2021: New Zealand
13,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2021: New Zealand
14,Dynamite,BTS,Top Songs of 2021: New Zealand
15,Holy (feat. Chance the Rapper),Justin Bieber,Top Songs of 2021: New Zealand
16,Watermelon Sugar,Harry Styles,Top Songs of 2021: New Zealand
17,HEARTBREAK ANNIVERSARY,GIVĒON,Top Songs of 2021: New Zealand
18,Dance Monkey,Tones And I,Top Songs of 2021: New Zealand
19,Controller,L.A.B,Top Songs of 2021: New Zealand
20,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: New Zealand
21,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2021: New Zealand
22,Sundown,SIX60,Top Songs of 2021: New Zealand
23,Don't Start Now,Dua Lipa,Top Songs of 2021: New Zealand
24,Bad Habits,Ed Sheeran,Top Songs of 2021: New Zealand
25,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2021: New Zealand
26,Someone You Loved,Lewis Capaldi,Top Songs of 2021: New Zealand
27,deja vu,Olivia Rodrigo,Top Songs of 2021: New Zealand
28,MONTERO (Call Me By Your Name),Lil Nas X,Top Songs of 2021: New Zealand
29,you broke me first,Tate McRae,Top Songs of 2021: New Zealand
30,Astronaut In The Ocean,Masked Wolf,Top Songs of 2021: New Zealand
31,All She Wrote,SIX60,Top Songs of 2021: New Zealand
32,Fade Away,SIX60,Top Songs of 2021: New Zealand
33,SO DONE,The Kid LAROI,Top Songs of 2021: New Zealand
34,Good Days,SZA,Top Songs of 2021: New Zealand
35,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2021: New Zealand
36,Therefore I Am,Billie Eilish,Top Songs of 2021: New Zealand
37,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2021: New Zealand
38,Dancing in the Moonlight (feat. NEIMY),Jubël,Top Songs of 2021: New Zealand
39,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: New Zealand
40,Catching Feelings (feat. Six60),Drax Project,Top Songs of 2021: New Zealand
41,The Greatest,SIX60,Top Songs of 2021: New Zealand
42,34+35,Ariana Grande,Top Songs of 2021: New Zealand
43,Take You Dancing,Jason Derulo,Top Songs of 2021: New Zealand
44,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2021: New Zealand
45,Help Me Out (feat. Sons Of Zion),Kings,Top Songs of 2021: New Zealand
46,Memories,Maroon 5,Top Songs of 2021: New Zealand
47,Anyone,Justin Bieber,Top Songs of 2021: New Zealand
48,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2021: New Zealand
49,The Business,Tiësto,Top Songs of 2021: New Zealand
50,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2021: New Zealand
51,Fly Away,Tones And I,Top Songs of 2021: New Zealand
52,bad guy,Billie Eilish,Top Songs of 2021: New Zealand
53,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2021: New Zealand
54,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2021: New Zealand
55,Bang!,AJR,Top Songs of 2021: New Zealand
56,willow,Taylor Swift,Top Songs of 2021: New Zealand
57,Save Your Tears (Remix),"The Weeknd, Ariana Grande",Top Songs of 2021: New Zealand
58,Shape of You,Ed Sheeran,Top Songs of 2021: New Zealand
59,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Top Songs of 2021: New Zealand
60,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2021: New Zealand
61,What You Know Bout Love,Pop Smoke,Top Songs of 2021: New Zealand
62,Hold On,Justin Bieber,Top Songs of 2021: New Zealand
63,Up,Cardi B,Top Songs of 2021: New Zealand
64,Africa,Toto,Top Songs of 2021: New Zealand
65,Not My Neighbour,Niko Walters,Top Songs of 2021: New Zealand
66,Monster,"Shawn Mendes, Justin Bieber",Top Songs of 2021: New Zealand
67,Breaking Me,"Topic, A7S",Top Songs of 2021: New Zealand
68,Whoopty,CJ,Top Songs of 2021: New Zealand
69,Streets,Doja Cat,Top Songs of 2021: New Zealand
70,Circles,Post Malone,Top Songs of 2021: New Zealand
71,Please Don't Go,SIX60,Top Songs of 2021: New Zealand
72,traitor,Olivia Rodrigo,Top Songs of 2021: New Zealand
73,Afterglow,Ed Sheeran,Top Songs of 2021: New Zealand
74,Don't Give It Up,SIX60,Top Songs of 2021: New Zealand
75,Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",Top Songs of 2021: New Zealand
76,Adore You,Harry Styles,Top Songs of 2021: New Zealand
77,Midnight Sky,Miley Cyrus,Top Songs of 2021: New Zealand
78,Riptide,Vance Joy,Top Songs of 2021: New Zealand
79,Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver",Top Songs of 2021: New Zealand
80,INDUSTRY BABY,"Lil Nas X, Jack Harlow",Top Songs of 2021: New Zealand
81,Rain On Me,"Lady Gaga, Ariana Grande",Top Songs of 2021: New Zealand
82,Vibes,SIX60,Top Songs of 2021: New Zealand
83,Thinking Out Loud,Ed Sheeran,Top Songs of 2021: New Zealand
84,Long Gone,SIX60,Top Songs of 2021: New Zealand
85,Feel It Still,Portugal. The Man,Top Songs of 2021: New Zealand
86,No Role Modelz,J. Cole,Top Songs of 2021: New Zealand
87,Ride It,Regard,Top Songs of 2021: New Zealand
88,Sweet & Sour (feat. Lauv & Tyga),Jawsh 685,Top Songs of 2021: New Zealand
89,Youngblood,5 Seconds of Summer,Top Songs of 2021: New Zealand
90,Yes I Do,L.A.B,Top Songs of 2021: New Zealand
91,Save Your Tears,The Weeknd,Top Songs of 2021: New Zealand
92,Before You Go,Lewis Capaldi,Top Songs of 2021: New Zealand
93,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: New Zealand
94,Never Enough,SIX60,Top Songs of 2021: New Zealand
95,Shotgun,George Ezra,Top Songs of 2021: New Zealand
96,Supalonely (feat. Gus Dapperton),BENEE,Top Songs of 2021: New Zealand
97,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2021: New Zealand
98,New Rules,Dua Lipa,Top Songs of 2021: New Zealand
0,Cold Heart (PNAU Remix),"Elton John, Dua Lipa",Top Songs of 2022: New Zealand
1,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2022: New Zealand
2,Easy On Me,Adele,Top Songs of 2022: New Zealand
3,As It Was,Harry Styles,Top Songs of 2022: New Zealand
4,Bad Habits,Ed Sheeran,Top Songs of 2022: New Zealand
5,Shivers,Ed Sheeran,Top Songs of 2022: New Zealand
6,Heat Waves,Glass Animals,Top Songs of 2022: New Zealand
7,Where Are You Now,"Lost Frequencies, Calum Scott",Top Songs of 2022: New Zealand
8,abcdefu,GAYLE,Top Songs of 2022: New Zealand
9,INDUSTRY BABY,"Lil Nas X, Jack Harlow",Top Songs of 2022: New Zealand
10,Blinding Lights,The Weeknd,Top Songs of 2022: New Zealand
11,Dreams,Fleetwood Mac,Top Songs of 2022: New Zealand
12,First Class,Jack Harlow,Top Songs of 2022: New Zealand
13,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2022: New Zealand
14,Go Your Own Way,Fleetwood Mac,Top Songs of 2022: New Zealand
15,Woman,Doja Cat,Top Songs of 2022: New Zealand
16,In the Air,L.A.B,Top Songs of 2022: New Zealand
17,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2022: New Zealand
18,Save Your Tears (Remix),"The Weeknd, Ariana Grande",Top Songs of 2022: New Zealand
19,Down Under (feat. Colin Hay),Luude,Top Songs of 2022: New Zealand
20,Watermelon Sugar,Harry Styles,Top Songs of 2022: New Zealand
21,Pepeha,SIX60,Top Songs of 2022: New Zealand
22,I Ain't Worried,OneRepublic,Top Songs of 2022: New Zealand
23,About Damn Time,Lizzo,Top Songs of 2022: New Zealand
24,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, , , ,",Top Songs of 2022: New Zealand
25,Ghost,Justin Bieber,Top Songs of 2022: New Zealand
26,good 4 u,Olivia Rodrigo,Top Songs of 2022: New Zealand
27,THATS WHAT I WANT,Lil Nas X,Top Songs of 2022: New Zealand
28,Under the Influence,Chris Brown,Top Songs of 2022: New Zealand
29,Dance Monkey,Tones And I,Top Songs of 2022: New Zealand
30,Mr Reggae,L.A.B,Top Songs of 2022: New Zealand
31,Thinking Out Loud,Ed Sheeran,Top Songs of 2022: New Zealand
32,Overpass Graffiti,Ed Sheeran,Top Songs of 2022: New Zealand
33,Oh My God,Adele,Top Songs of 2022: New Zealand
34,New Rules,Dua Lipa,Top Songs of 2022: New Zealand
35,The Motto,"Tiësto, Ava Max",Top Songs of 2022: New Zealand
36,Happier Than Ever,Billie Eilish,Top Songs of 2022: New Zealand
37,Lost,Frank Ocean,Top Songs of 2022: New Zealand
38,Shape of You,Ed Sheeran,Top Songs of 2022: New Zealand
39,Don't Start Now,Dua Lipa,Top Songs of 2022: New Zealand
40,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2022: New Zealand
41,Enemy,"Imagine Dragons, JID, League of Legends",Top Songs of 2022: New Zealand
42,Better Days,"NEIKED, Mae Muller, Polo G",Top Songs of 2022: New Zealand
43,Mr. Brightside,The Killers,Top Songs of 2022: New Zealand
44,Someone You Loved,Lewis Capaldi,Top Songs of 2022: New Zealand
45,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Top Songs of 2022: New Zealand
46,Africa,Toto,Top Songs of 2022: New Zealand
47,WAIT FOR U (feat. Drake & Tems),Future,Top Songs of 2022: New Zealand
48,Glimpse of Us,Joji,Top Songs of 2022: New Zealand
49,Rocket Man (I Think It's Going to Be a Long Long Time),Elton John,Top Songs of 2022: New Zealand
50,Need To Know,Doja Cat,Top Songs of 2022: New Zealand
51,Riptide,Vance Joy,Top Songs of 2022: New Zealand
52,bad guy,Billie Eilish,Top Songs of 2022: New Zealand
53,Last Last,Burna Boy,Top Songs of 2022: New Zealand
54,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Top Songs of 2022: New Zealand
55,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2022: New Zealand
56,Starboy (feat. Daft Punk),The Weeknd,Top Songs of 2022: New Zealand
57,Controller,L.A.B,Top Songs of 2022: New Zealand
58,Friday Night,King George,Top Songs of 2022: New Zealand
59,Iris,The Goo Goo Dolls,Top Songs of 2022: New Zealand
60,Big Energy,Latto,Top Songs of 2022: New Zealand
61,Perfect,Ed Sheeran,Top Songs of 2022: New Zealand
62,Running Up That Hill (A Deal with God),Kate Bush,Top Songs of 2022: New Zealand
63,Memories,Maroon 5,Top Songs of 2022: New Zealand
64,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2022: New Zealand
65,All She Wrote,SIX60,Top Songs of 2022: New Zealand
66,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Top Songs of 2022: New Zealand
67,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2022: New Zealand
68,Bam Bam (feat. Ed Sheeran),Camila Cabello,Top Songs of 2022: New Zealand
69,No Role Modelz,J. Cole,Top Songs of 2022: New Zealand
70,The Chain,Fleetwood Mac,Top Songs of 2022: New Zealand
71,Why Oh Why,L.A.B,Top Songs of 2022: New Zealand
72,Fingers Crossed,Lauren Spencer Smith,Top Songs of 2022: New Zealand
73,Late Night Talking,Harry Styles,Top Songs of 2022: New Zealand
74,Circles,Post Malone,Top Songs of 2022: New Zealand
75,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2022: New Zealand
76,35,"Rob Ruha, Ka Hao",Top Songs of 2022: New Zealand
77,she's all i wanna be,Tate McRae,Top Songs of 2022: New Zealand
78,All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,Top Songs of 2022: New Zealand
79,Under the Sun,L.A.B,Top Songs of 2022: New Zealand
80,Hrs & Hrs,Muni Long,Top Songs of 2022: New Zealand
81,when the party's over,Billie Eilish,Top Songs of 2022: New Zealand
82,Dynamite,BTS,Top Songs of 2022: New Zealand
83,I Hate U,SZA,Top Songs of 2022: New Zealand
84,Leave Before You Love Me,"Marshmello, Jonas Brothers",Top Songs of 2022: New Zealand
85,Do It To It (feat. Cherish),Acraze,Top Songs of 2022: New Zealand
86,Don't Stop Believin',Journey,Top Songs of 2022: New Zealand
87,Catching Feelings (feat. SIX60),Drax Project,Top Songs of 2022: New Zealand
88,Head & Heart (feat. MNEK),Joel Corry,Top Songs of 2022: New Zealand
89,Photograph,Ed Sheeran,Top Songs of 2022: New Zealand
90,Believer,Imagine Dragons,Top Songs of 2022: New Zealand
91,When We Were Young,Adele,Top Songs of 2022: New Zealand
92,One Right Now,"Post Malone, The Weeknd",Top Songs of 2022: New Zealand
93,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2022: New Zealand
94,Youngblood,5 Seconds of Summer,Top Songs of 2022: New Zealand
95,Sex On Fire,Kings of Leon,Top Songs of 2022: New Zealand
