,songs,artist,title
92,Nice For What,Drake,Top Songs of 2019: Canada
93,a lot,21 Savage,Top Songs of 2019: Canada
94,Psycho (feat. Ty Dolla $ign),Post Malone,Top Songs of 2019: Canada
95,Meant to Be,"Bebe Rexha, Florida Georgia Line",Top Songs of 2019: Canada
96,Robbery,Juice WRLD,Top Songs of 2019: Canada
97,Moonlight,XXXTENTACION,Top Songs of 2019: Canada
98,God's Plan,Drake,Top Songs of 2019: Canada
99,Uproar (feat. Swizz Beatz),Lil Wayne,Top Songs of 2019: Canada
0,Dance Monkey,Tones And I,Top Songs of 2020: Canada
1,The Box,Roddy Ricch,Top Songs of 2020: Canada
2,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2020: Canada
3,Blinding Lights,The Weeknd,Top Songs of 2020: Canada
4,ROCKSTAR (feat. Roddy Ricch),DaBaby,Top Songs of 2020: Canada
5,Circles,Post Malone,Top Songs of 2020: Canada
6,ROXANNE,Arizona Zervas,Top Songs of 2020: Canada
7,Someone You Loved,Lewis Capaldi,Top Songs of 2020: Canada
8,Don't Start Now,Dua Lipa,Top Songs of 2020: Canada
9,Watermelon Sugar,Harry Styles,Top Songs of 2020: Canada
10,Ride It,Regard,Top Songs of 2020: Canada
11,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: Canada
12,Life Is Good (feat. Drake),Future,Top Songs of 2020: Canada
13,Before You Go,Lewis Capaldi,Top Songs of 2020: Canada
14,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2020: Canada
15,Adore You,Harry Styles,Top Songs of 2020: Canada
16,everything i wanted,Billie Eilish,Top Songs of 2020: Canada
17,Falling,Trevor Daniel,Top Songs of 2020: Canada
18,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: Canada
19,Memories,Maroon 5,Top Songs of 2020: Canada
20,Toosie Slide,Drake,Top Songs of 2020: Canada
21,Bandit,"Juice WRLD, YoungBoy Never Broke Again",Top Songs of 2020: Canada
22,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: Canada
23,Heartless (feat. Morgan Wallen),Diplo,Top Songs of 2020: Canada
24,Godzilla (feat. Juice WRLD),Eminem,Top Songs of 2020: Canada
25,Lose You to Love Me,Selena Gomez,Top Songs of 2020: Canada
26,Sunday Best,Surfaces,Top Songs of 2020: Canada
27,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2020: Canada
28,You should be sad,Halsey,Top Songs of 2020: Canada
29,One Thing Right,"Marshmello, Kane Brown",Top Songs of 2020: Canada
30,Blueberry Faygo,Lil Mosey,Top Songs of 2020: Canada
31,hot girl bummer,blackbear,Top Songs of 2020: Canada
32,WAP (feat. Megan Thee Stallion),Cardi B,Top Songs of 2020: Canada
33,Mood (feat. iann dior),24kGoldn,Top Songs of 2020: Canada
34,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2020: Canada
35,bad guy,Billie Eilish,Top Songs of 2020: Canada
36,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2020: Canada
37,Heartless,The Weeknd,Top Songs of 2020: Canada
38,BOP,DaBaby,Top Songs of 2020: Canada
39,I Hope,Gabby Barrett,Top Songs of 2020: Canada
40,Breaking Me,"Topic, A7S",Top Songs of 2020: Canada
41,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2020: Canada
42,I'm Not Alright,"Loud Luxury, Bryce Vine",Top Songs of 2020: Canada
43,Whats Poppin,Jack Harlow,Top Songs of 2020: Canada
44,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2020: Canada
45,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2020: Canada
46,July,Noah Cyrus,Top Songs of 2020: Canada
47,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Top Songs of 2020: Canada
48,High Fashion (feat. Mustard),Roddy Ricch,Top Songs of 2020: Canada
49,My Oh My (feat. DaBaby),Camila Cabello,Top Songs of 2020: Canada
50,Woah,Lil Baby,Top Songs of 2020: Canada
51,Whiskey Glasses,Morgan Wallen,Top Songs of 2020: Canada
52,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,Top Songs of 2020: Canada
53,Yummy,Justin Bieber,Top Songs of 2020: Canada
54,Beer Never Broke My Heart,Luke Combs,Top Songs of 2020: Canada
55,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Top Songs of 2020: Canada
56,Wow.,Post Malone,Top Songs of 2020: Canada
57,Dior,Pop Smoke,Top Songs of 2020: Canada
58,death bed (feat. beabadoobee) [coffee for your head],Powfu,Top Songs of 2020: Canada
59,Party Girl,StaySolidRocky,Top Songs of 2020: Canada
60,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",Top Songs of 2020: Canada
61,POPSTAR (feat. Drake),DJ Khaled,Top Songs of 2020: Canada
62,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2020: Canada
63,SICKO MODE,Travis Scott,Top Songs of 2020: Canada
64,Say So,Doja Cat,Top Songs of 2020: Canada
65,Truth Hurts,Lizzo,Top Songs of 2020: Canada
66,Kissing Other People,Lennon Stella,Top Songs of 2020: Canada
67,Lalala,"Y2K, bbno$",Top Songs of 2020: Canada
