,songs,artist_x,title,artist_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country
373,Yes Indeed,"Lil Baby, Drake",Top Songs of 2020: USA,"Lil Baby, Drake",0.963,0.346,5.0,-9.309,0.0,0.53,0.0355,0.0,0.108,0.562,119.957,2020,USA
376,Party Girl,StaySolidRocky,Top Songs of 2020: USA,StaySolidRocky,0.728,0.431,6.0,-9.966,0.0,0.0622,0.749,0.0,0.0996,0.629,130.022,2020,USA
377,Big Stepper,Roddy Ricch,Top Songs of 2020: USA,Roddy Ricch,0.753,0.597,8.0,-8.469,1.0,0.292,0.0477,0.0,0.197,0.616,76.997,2020,USA
378,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Top Songs of 2020: USA,"THE SCOTTS, Travis Scott, Kid Cudi",0.716,0.537,0.0,-7.648,0.0,0.0514,0.233,0.0,0.157,0.28,129.979,2020,USA
379,Jerry Sprunger,"Tory Lanez, T-Pain",Top Songs of 2020: USA,"Tory Lanez, T-Pain",0.76,0.746,0.0,-5.331,0.0,0.227,0.137,0.0,0.0905,0.449,100.011,2020,USA
380,Truth Hurts,Lizzo,Top Songs of 2020: USA,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,2020,USA
386,Savage,Megan Thee Stallion,Top Songs of 2020: USA,Megan Thee Stallion,0.843,0.741,11.0,-5.609,1.0,0.334,0.0252,0.0,0.096,0.68,168.983,2020,USA
387,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2021: USA,Drake,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,2021,USA
389,Back in Blood (feat. Lil Durk),Pooh Shiesty,Top Songs of 2021: USA,Pooh Shiesty,0.759,0.538,8.0,-8.256,0.0,0.384,0.151,0.0,0.126,0.831,146.933,2021,USA
391,drivers license,Olivia Rodrigo,Top Songs of 2021: USA,Olivia Rodrigo,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,2021,USA
394,On Me,Lil Baby,Top Songs of 2021: USA,Lil Baby,0.856,0.564,6.0,-6.295,0.0,0.392,0.00327,0.0,0.134,0.483,77.972,2021,USA
395,RAPSTAR,Polo G,Top Songs of 2021: USA,Polo G,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,2021,USA
398,good 4 u,Olivia Rodrigo,Top Songs of 2021: USA,Olivia Rodrigo,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,2021,USA
404,Good Days,SZA,Top Songs of 2021: USA,SZA,0.436,0.655,1.0,-8.37,0.0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,2021,USA
406,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: USA,"Lil Tjay, 6LACK",0.907,0.393,4.0,-7.636,0.0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,2021,USA
408,Save Your Tears,The Weeknd,Top Songs of 2021: USA,The Weeknd,0.685,0.816,0.0,-5.496,1.0,0.0308,0.0216,2.05e-05,0.439,0.619,118.065,2021,USA
411,positions,Ariana Grande,Top Songs of 2021: USA,Ariana Grande,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,2021,USA
414,Drankin N Smokin,"Future, Lil Uzi Vert",Top Songs of 2021: USA,"Future, Lil Uzi Vert",0.752,0.658,0.0,-6.297,1.0,0.342,0.0421,0.0,0.0927,0.387,151.951,2021,USA
415,You're Mines Still,Yung Bleu,Top Songs of 2021: USA,Yung Bleu,0.613,0.615,5.0,-4.859,0.0,0.107,0.308,0.0,0.107,0.342,86.782,2021,USA
416,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: USA,Doja Cat,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,2021,USA
422,What You Know Bout Love,Pop Smoke,Top Songs of 2021: USA,Pop Smoke,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,2021,USA
426,HEARTBREAK ANNIVERSARY,GIVĒON,Top Songs of 2021: USA,GIVĒON,0.449,0.465,0.0,-8.964,1.0,0.0791,0.524,1.02e-06,0.303,0.543,89.087,2021,USA
428,Time Today,Moneybagg Yo,Top Songs of 2021: USA,Moneybagg Yo,0.912,0.608,1.0,-7.686,1.0,0.397,0.0458,0.0,0.248,0.327,136.994,2021,USA
429,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: USA,Dua Lipa,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,2021,USA
434,Wockesha,Moneybagg Yo,Top Songs of 2021: USA,Moneybagg Yo,0.582,0.537,0.0,-9.229,1.0,0.619,0.129,0.0,0.0749,0.771,82.103,2021,USA
435,Up,Cardi B,Top Songs of 2021: USA,Cardi B,0.868,0.795,11.0,-6.044,1.0,0.269,0.0012,0.0193,0.0461,0.819,166.0,2021,USA
438,Forever After All,Luke Combs,Top Songs of 2021: USA,Luke Combs,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,2021,USA
440,Blinding Lights,The Weeknd,Top Songs of 2021: USA,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,2021,USA
449,Whoopty,CJ,Top Songs of 2021: USA,CJ,0.719,0.648,3.0,-7.6,0.0,0.125,0.2,0.0,0.127,0.66,140.201,2021,USA
452,deja vu,Olivia Rodrigo,Top Songs of 2021: USA,Olivia Rodrigo,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,2021,USA
455,Martin & Gina,Polo G,Top Songs of 2021: USA,Polo G,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,2021,USA
457,Streets,Doja Cat,Top Songs of 2021: USA,Doja Cat,0.749,0.463,11.0,-8.433,1.0,0.0842,0.21,0.0382,0.338,0.189,90.035,2021,USA
460,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: USA,"The Kid LAROI, Justin Bieber",0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,2021,USA
466,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2021: USA,"Chris Brown, Young Thug",0.755,0.578,0.0,-8.932,0.0,0.145,0.316,0.0,0.25,0.581,94.148,2021,USA
472,Kacey Talk,YoungBoy Never Broke Again,Top Songs of 2021: USA,YoungBoy Never Broke Again,0.877,0.607,10.0,-7.818,0.0,0.15,0.535,0.0,0.138,0.773,127.055,2021,USA
474,Street Runner,Rod Wave,Top Songs of 2021: USA,Rod Wave,0.599,0.61,5.0,-8.633,0.0,0.24,0.213,0.000414,0.151,0.434,159.933,2021,USA
475,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2021: USA,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,2021,USA
478,Wasted On You,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,2021,USA
480,Damage,H.E.R.,Top Songs of 2021: USA,H.E.R.,0.646,0.696,1.0,-6.505,1.0,0.065,0.113,0.0,0.115,0.18,81.336,2021,USA
481,Astronaut In The Ocean,Masked Wolf,Top Songs of 2021: USA,Masked Wolf,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,2021,USA
483,Body,Megan Thee Stallion,Top Songs of 2021: USA,Summer Walker,0.555,0.507,11.0,-6.099,0.0,0.167,0.25,0.0,0.283,0.339,137.875,2021,USA
484,Body,Megan Thee Stallion,Top Songs of 2021: USA,Megan Thee Stallion,0.914,0.732,8.0,-6.1,0.0,0.241,0.0166,0.0,0.107,0.469,94.066,2021,USA
485,What’s Next,Drake,Top Songs of 2021: USA,Drake,0.781,0.594,0.0,-6.959,0.0,0.0485,0.0136,0.0,0.162,0.0628,129.895,2021,USA
486,my ex's best friend,"Machine Gun Kelly, blackbear",Top Songs of 2021: USA,"Machine Gun Kelly, blackbear",0.731,0.675,5.0,-5.134,0.0,0.0434,0.00473,0.0,0.141,0.298,124.939,2021,USA
488,We Paid,"Lil Baby, 42 Dugg",Top Songs of 2021: USA,"Lil Baby, 42 Dugg",0.926,0.542,1.0,-5.064,1.0,0.293,0.135,0.0,0.0877,0.564,135.14,2021,USA
490,Way 2 Sexy (feat. Future & Young Thug),Drake,Top Songs of 2021: USA,,,,,,,,,,,,,2021,USA
491,Tombstone,Rod Wave,Top Songs of 2021: USA,Rod Wave,0.55,0.637,8.0,-5.212,1.0,0.163,0.597,0.0,0.129,0.535,84.448,2021,USA
492,The Box,Roddy Ricch,Top Songs of 2021: USA,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,2021,USA
496,Yes Indeed,"Lil Baby, Drake",Top Songs of 2021: USA,"Lil Baby, Drake",0.963,0.346,5.0,-9.309,0.0,0.53,0.0355,0.0,0.108,0.562,119.957,2021,USA
499,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: USA,The Kid LAROI,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,2021,USA
503,No Guidance (feat. Drake),Chris Brown,Top Songs of 2021: USA,Chris Brown,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,2021,USA
511,7 Summers,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,2021,USA
512,Somebody’s Problem,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.658,0.538,5.0,-7.676,1.0,0.0289,0.657,0.0,0.123,0.62,136.967,2021,USA
513,Heat Waves,Glass Animals,Top Songs of 2021: USA,Glass Animals,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,2021,USA
519,More Than My Hometown,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.62,0.869,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,2021,USA
521,Tyler Herro,Jack Harlow,Top Songs of 2021: USA,Jack Harlow,0.792,0.793,5.0,-6.185,0.0,0.0841,0.0872,0.0,0.22,0.775,123.031,2021,USA
522,Cover Me Up,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.549,0.44,7.0,-8.192,1.0,0.0264,0.232,7.37e-06,0.107,0.214,128.01,2021,USA
524,Sum 2 Prove,Lil Baby,Top Songs of 2021: USA,Lil Baby,0.827,0.552,4.0,-7.571,0.0,0.274,0.0169,0.0,0.122,0.408,124.011,2021,USA
527,Dior,Pop Smoke,Top Songs of 2021: USA,Pop Smoke,0.548,0.805,7.0,-5.732,1.0,0.351,0.212,0.000389,0.408,0.648,142.094,2021,USA
529,Took Her to the O,King Von,Top Songs of 2021: USA,King Von,0.82,0.592,1.0,-7.002,1.0,0.29,0.0149,4.71e-06,0.121,0.4,159.98,2021,USA
530,traitor,Olivia Rodrigo,Top Songs of 2021: USA,Olivia Rodrigo,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,2021,USA
533,Still Trappin',"Lil Durk, King Von",Top Songs of 2021: USA,"Lil Durk, King Von",0.877,0.679,5.0,-4.969,0.0,0.355,0.0458,0.0,0.0987,0.624,144.93,2021,USA
534,Hellcats & Trackhawks,"Only The Family, Lil Durk",Top Songs of 2021: USA,"Only The Family, Lil Durk",0.841,0.672,1.0,-5.557,0.0,0.371,0.0122,0.0,0.321,0.599,157.026,2021,USA
535,Knife Talk (feat. 21 Savage & Project Pat),Drake,Top Songs of 2021: USA,,,,,,,,,,,,,2021,USA
536,Sand In My Boots,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.403,0.537,3.0,-6.628,1.0,0.031,0.59,0.0,0.112,0.414,69.877,2021,USA
538,Hats Off,"Lil Baby, Lil Durk, Travis Scott",Top Songs of 2021: USA,"Lil Baby, Lil Durk, Travis Scott",0.596,0.65,9.0,-5.167,1.0,0.337,0.138,0.0,0.14,0.188,133.997,2021,USA
540,Track Star,Mooski,Top Songs of 2021: USA,Mooski,0.641,0.598,7.0,-5.7,0.0,0.324,0.381,0.0,0.0921,0.285,131.459,2021,USA
541,Emotionally Scarred,Lil Baby,Top Songs of 2021: USA,Lil Baby,0.585,0.641,6.0,-4.269,0.0,0.133,0.0286,0.0,0.316,0.266,88.284,2021,USA
543,Best Friend (feat. Doja Cat),Saweetie,Top Songs of 2021: USA,Saweetie,0.84,0.766,4.0,-4.12,1.0,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,2021,USA
544,Whiskey Glasses,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,2021,USA
548,Girls Want Girls (feat. Lil Baby),Drake,Top Songs of 2021: USA,,,,,,,,,,,,,2021,USA
549,Ski,"Young Stoner Life, Young Thug, Gunna",Top Songs of 2021: USA,"Young Stoner Life, Young Thug, Gunna",0.953,0.621,8.0,-7.638,0.0,0.221,0.017,0.0,0.0398,0.883,123.016,2021,USA
550,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2021: USA,"Lil Baby, Gunna",0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,2021,USA
554,Real As It Gets (feat. EST Gee),Lil Baby,Top Songs of 2021: USA,Lil Baby,0.779,0.705,6.0,-5.891,0.0,0.163,0.00471,0.0,0.0971,0.196,140.005,2021,USA
555,m y . l i f e,"J. Cole, 21 Savage, Morray",Top Songs of 2021: USA,"J. Cole, 21 Savage, Morray",0.597,0.587,7.0,-7.026,0.0,0.137,0.0622,0.0,0.214,0.0753,140.021,2021,USA
556,Hard for the Next,"Moneybagg Yo, Future",Top Songs of 2021: USA,"Moneybagg Yo, Future",0.639,0.564,1.0,-7.326,1.0,0.389,0.0329,0.0,0.228,0.375,175.053,2021,USA
557,Need To Know,Doja Cat,Top Songs of 2021: USA,Doja Cat,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,2021,USA
561,Still Goin' Down,Morgan Wallen,Top Songs of 2021: USA,Morgan Wallen,0.58,0.752,7.0,-5.078,1.0,0.0267,0.49,0.0,0.277,0.72,148.108,2021,USA
562,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: USA,"Justin Bieber, benny blanco",0.619,0.241,11.0,-7.102,0.0,0.046,0.9,0.0,0.116,0.0719,79.461,2021,USA
564,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: USA,"Diplo, Jonas Brothers",0.739,0.717,1.0,-5.123,1.0,0.0565,0.0611,0.0,0.206,0.529,98.047,2021,USA
566,Beautiful Crazy,Luke Combs,Top Songs of 2021: USA,Luke Combs,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,2021,USA
570,late at night,Roddy Ricch,Top Songs of 2021: USA,Roddy Ricch,0.621,0.405,1.0,-11.26,0.0,0.437,0.382,0.0,0.152,0.141,98.427,2021,USA
571,pov,Ariana Grande,Top Songs of 2021: USA,Ariana Grande,0.487,0.534,0.0,-5.664,0.0,0.0555,0.36,0.0,0.1,0.173,131.798,2021,USA
572,WAIT FOR U (feat. Drake & Tems),Future,Top Songs of 2022: USA,Future,0.463,0.642,1.0,-4.474,1.0,0.34,0.314,0.0,0.0686,0.339,83.389,2022,USA
574,Super Gremlin,Kodak Black,Top Songs of 2022: USA,Kodak Black,0.825,0.414,2.0,-6.634,1.0,0.144,0.00265,0.0,0.357,0.106,72.993,2022,USA
575,Me Porto Bonito,"Bad Bunny, Chencho Corleone",Top Songs of 2022: USA,"Bad Bunny, Chencho Corleone",0.911,0.712,1.0,-5.105,0.0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2022,USA
576,pushin P (feat. Young Thug),"Gunna, Future",Top Songs of 2022: USA,"Gunna, Future",0.773,0.422,1.0,-4.572,0.0,0.187,0.00783,0.00693,0.129,0.488,77.502,2022,USA
577,As It Was,Harry Styles,Top Songs of 2022: USA,Harry Styles,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,2022,USA
580,Tití Me Preguntó,Bad Bunny,Top Songs of 2022: USA,Bad Bunny,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,2022,USA
581,First Class,Jack Harlow,Top Songs of 2022: USA,Jack Harlow,0.902,0.582,5.0,-5.902,0.0,0.109,0.111,3.18e-06,0.111,0.332,107.005,2022,USA
584,In A Minute,Lil Baby,Top Songs of 2022: USA,Lil Baby,0.626,0.583,4.0,-6.102,0.0,0.334,0.0279,0.0,0.112,0.133,113.42,2022,USA
585,Knife Talk (feat. 21 Savage & Project Pat),Drake,Top Songs of 2022: USA,,,,,,,,,,,,,2022,USA
586,Easy On Me,Adele,Top Songs of 2022: USA,Adele,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,2022,USA
589,Jimmy Cooks (feat. 21 Savage),Drake,Top Songs of 2022: USA,Drake,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,2022,USA
590,Hrs & Hrs,Muni Long,Top Songs of 2022: USA,Muni Long,0.52,0.546,8.0,-4.991,0.0,0.213,0.579,0.0,0.112,0.634,137.419,2022,USA
592,I Hate U,SZA,Top Songs of 2022: USA,SZA,0.533,0.417,7.0,-8.665,0.0,0.148,0.514,0.0,0.114,0.376,106.534,2022,USA
594,Heat Waves,Glass Animals,Top Songs of 2022: USA,Glass Animals,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,2022,USA
600,PUFFIN ON ZOOTIEZ,Future,Top Songs of 2022: USA,Future,0.883,0.657,8.0,-5.748,1.0,0.305,0.0603,0.0,0.128,0.284,124.992,2022,USA
601,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2022: USA,"The Kid LAROI, Justin Bieber",0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,2022,USA
607,Moscow Mule,Bad Bunny,Top Songs of 2022: USA,Bad Bunny,0.804,0.674,5.0,-5.453,0.0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,2022,USA
608,Freestyle,Lil Baby,Top Songs of 2022: USA,Lil Baby,0.877,0.517,2.0,-5.426,0.0,0.0706,0.217,0.0,0.143,0.255,119.996,2022,USA
609,By Your Side,Rod Wave,Top Songs of 2022: USA,Rod Wave,0.649,0.508,8.0,-10.232,1.0,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,2022,USA
610,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2022: USA,Drake,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,2022,USA
612,Way 2 Sexy (feat. Future & Young Thug),Drake,Top Songs of 2022: USA,,,,,,,,,,,,,2022,USA
613,You Proof,Morgan Wallen,Top Songs of 2022: USA,Morgan Wallen,0.731,0.85,9.0,-4.913,1.0,0.0336,0.252,0.0,0.605,0.644,119.706,2022,USA
614,Wasted On You,Morgan Wallen,Top Songs of 2022: USA,Morgan Wallen,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,2022,USA
616,Girls Want Girls (feat. Lil Baby),Drake,Top Songs of 2022: USA,,,,,,,,,,,,,2022,USA
617,INDUSTRY BABY,"Lil Nas X, Jack Harlow",Top Songs of 2022: USA,"Lil Nas X, Jack Harlow",0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995,2022,USA
621,Efecto,Bad Bunny,Top Songs of 2022: USA,Bad Bunny,0.801,0.475,7.0,-8.797,0.0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,2022,USA
622,Party,"Bad Bunny, Rauw Alejandro",Top Songs of 2022: USA,"Bad Bunny, Rauw Alejandro",0.829,0.799,9.0,-5.389,1.0,0.0897,0.0151,0.000543,0.242,0.471,97.013,2022,USA
623,Die For You,The Weeknd,Top Songs of 2022: USA,The Weeknd,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,2022,USA
624,Need To Know,Doja Cat,Top Songs of 2022: USA,Doja Cat,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,2022,USA
628,P power (feat. Drake),Gunna,Top Songs of 2022: USA,Gunna,0.828,0.591,1.0,-6.217,1.0,0.109,0.0199,0.000323,0.361,0.202,119.251,2022,USA
629,Bad Habit,Steve Lacy,Top Songs of 2022: USA,Steve Lacy,0.686,0.507,1.0,-7.097,1.0,0.0357,0.626,7.51e-05,0.383,0.69,168.955,2022,USA
630,AHHH HA,Lil Durk,Top Songs of 2022: USA,Lil Durk,0.676,0.61,1.0,-9.185,1.0,0.273,0.000114,1.73e-06,0.191,0.519,156.005,2022,USA
631,Whiskey Glasses,Morgan Wallen,Top Songs of 2022: USA,Morgan Wallen,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,2022,USA
635,Martin & Gina,Polo G,Top Songs of 2022: USA,Polo G,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,2022,USA
637,Under the Influence,Chris Brown,Top Songs of 2022: USA,Chris Brown,0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,2022,USA
640,No Love,"Summer Walker, SZA",Top Songs of 2022: USA,"Summer Walker, SZA",0.707,0.618,1.0,-5.825,0.0,0.19,0.17,0.0,0.293,0.517,133.876,2022,USA
641,Chasin' You,Morgan Wallen,Top Songs of 2022: USA,Morgan Wallen,0.631,0.591,7.0,-5.785,1.0,0.0277,0.657,0.0,0.11,0.489,97.074,2022,USA
643,Right On,Lil Baby,Top Songs of 2022: USA,Lil Baby,0.535,0.618,2.0,-5.668,1.0,0.382,0.0245,0.0,0.103,0.211,165.991,2022,USA
644,abcdefu,GAYLE,Top Songs of 2022: USA,GAYLE,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,2022,USA
647,Después de la Playa,Bad Bunny,Top Songs of 2022: USA,Bad Bunny,0.564,0.903,5.0,-3.221,1.0,0.307,0.356,0.0,0.175,0.607,78.293,2022,USA
648,Best I Ever Had,Drake,Top Songs of 2022: USA,Drake,0.395,0.922,1.0,-2.176,1.0,0.375,0.19,0.0,0.134,0.558,162.361,2022,USA
649,Sum 2 Prove,Lil Baby,Top Songs of 2022: USA,Lil Baby,0.827,0.552,4.0,-7.571,0.0,0.274,0.0169,0.0,0.122,0.408,124.011,2022,USA
652,goosebumps,Travis Scott,Top Songs of 2022: USA,Travis Scott,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,2022,USA
654,Armed and Dangerous,Juice WRLD,Top Songs of 2022: USA,Juice WRLD,0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,2022,USA
656,Started From the Bottom,Drake,Top Songs of 2022: USA,Drake,0.793,0.524,8.0,-7.827,1.0,0.156,0.0319,0.0,0.156,0.579,86.325,2022,USA
657,No Guidance (feat. Drake),Chris Brown,Top Songs of 2022: USA,Chris Brown,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,2022,USA
665,Stick Talk,Future,Top Songs of 2022: USA,Future,0.729,0.672,7.0,-6.749,1.0,0.282,0.0265,0.0,0.244,0.595,159.903,2022,USA
666,Kacey Talk,YoungBoy Never Broke Again,Top Songs of 2022: USA,YoungBoy Never Broke Again,0.877,0.607,10.0,-7.818,0.0,0.15,0.535,0.0,0.138,0.773,127.055,2022,USA
668,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2022: USA,Doja Cat,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,2022,USA
674,Sand In My Boots,Morgan Wallen,Top Songs of 2022: USA,Morgan Wallen,0.403,0.537,3.0,-6.628,1.0,0.031,0.59,0.0,0.112,0.414,69.877,2022,USA
676,No Flockin,Kodak Black,Top Songs of 2022: USA,Kodak Black,0.943,0.595,5.0,-8.372,0.0,0.191,0.0673,0.0,0.0839,0.815,117.532,2022,USA
677,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",Top Songs of 2022: USA,"Bruno Mars, Anderson .Paak, Silk Sonic",0.627,0.618,2.0,-8.529,1.0,0.0437,0.0558,0.0,0.351,0.848,82.03,2022,USA
679,Blinding Lights,The Weeknd,Top Songs of 2022: USA,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,2022,USA
688,Fair Trade (feat. Travis Scott),Drake,Top Songs of 2022: USA,,,,,,,,,,,,,2022,USA
689,Beautiful Crazy,Luke Combs,Top Songs of 2022: USA,Luke Combs,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,2022,USA
693,RAPSTAR,Polo G,Top Songs of 2022: USA,Polo G,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,2022,USA
696,Free Mind,Tems,Top Songs of 2022: USA,Tems,0.562,0.463,6.0,-7.478,1.0,0.0787,0.442,0.000145,0.157,0.416,125.15,2022,USA
697,Back in Blood (feat. Lil Durk),Pooh Shiesty,Top Songs of 2022: USA,Pooh Shiesty,0.759,0.538,8.0,-8.256,0.0,0.384,0.151,0.0,0.126,0.831,146.933,2022,USA
699,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Top Songs of 2022: USA,"Bad Bunny, Bomba Estéreo",0.647,0.686,3.0,-5.745,0.0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,2022,USA
700,Callaita,"Bad Bunny, Tainy",Top Songs of 2022: USA,"Bad Bunny, Tainy",0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,2022,USA
701,Running Up That Hill (A Deal with God),Kate Bush,Top Songs of 2022: USA,Kate Bush,0.625,0.533,10.0,-11.903,0.0,0.0596,0.659,0.00266,0.0546,0.139,108.296,2022,USA
704,Nonstop,Drake,Top Songs of 2022: USA,Drake,0.912,0.412,7.0,-8.074,1.0,0.123,0.0165,0.0126,0.104,0.423,154.983,2022,USA
706,Woah,Lil Baby,Top Songs of 2022: USA,Lil Baby,0.882,0.602,11.0,-5.554,1.0,0.245,0.0177,0.0,0.178,0.43,142.959,2022,USA
708,Cover Me Up,Morgan Wallen,Top Songs of 2022: USA,Morgan Wallen,0.549,0.44,7.0,-8.192,1.0,0.0264,0.232,7.37e-06,0.107,0.214,128.01,2022,USA
710,Un Ratito,Bad Bunny,Top Songs of 2022: USA,Bad Bunny,0.787,0.546,0.0,-7.094,0.0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,2022,USA
711,Tennessee Whiskey,Chris Stapleton,Top Songs of 2022: USA,Chris Stapleton,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,2022,USA
712,What You Know Bout Love,Pop Smoke,Top Songs of 2022: USA,Pop Smoke,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,2022,USA
