,songs,artist_x,title,artist_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country
98,Lucid Dreams,Juice WRLD,Top Songs of 2019: USA,Juice WRLD,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,2019,USA
100,Worth It,YK Osiris,Top Songs of 2019: USA,YK Osiris,0.749,0.535,5.0,-4.054,0.0,0.0638,0.517,0.0,0.0942,0.459,124.008,2019,USA
101,Baby,"Quality Control, Lil Baby, DaBaby",Top Songs of 2019: USA,"Quality Control, Lil Baby, DaBaby",0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,2019,USA
103,Speechless,Dan + Shay,Top Songs of 2019: USA,Dan + Shay,0.616,0.438,1.0,-5.968,1.0,0.0298,0.356,0.0,0.24,0.386,135.929,2019,USA
104,Die Young,Roddy Ricch,Top Songs of 2019: USA,Roddy Ricch,0.687,0.656,4.0,-5.541,0.0,0.276,0.218,0.0,0.115,0.365,160.416,2019,USA
105,Trip,Ella Mai,Top Songs of 2019: USA,Ella Mai,0.477,0.61,11.0,-5.628,0.0,0.144,0.225,0.0,0.107,0.358,79.882,2019,USA
106,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: USA,"Cardi B, Bad Bunny, J Balvin",0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,2019,USA
109,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2019: USA,"Shawn Mendes, Camila Cabello",0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,2019,USA
114,Someone You Loved,Lewis Capaldi,Top Songs of 2019: USA,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,2019,USA
124,Please Me,"Cardi B, Bruno Mars",Top Songs of 2019: USA,"Cardi B, Bruno Mars",0.747,0.57,1.0,-6.711,1.0,0.081,0.0642,0.0,0.0832,0.65,133.992,2019,USA
126,Sucker,Jonas Brothers,Top Songs of 2019: USA,Jonas Brothers,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,2019,USA
130,Beautiful Crazy,Luke Combs,Top Songs of 2019: USA,Luke Combs,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,2019,USA
134,Tap (feat. Meek Mill),NAV,Top Songs of 2019: USA,NAV,0.901,0.676,2.0,-7.033,1.0,0.251,0.0646,0.0,0.0863,0.452,85.018,2019,USA
135,YOSEMITE,Travis Scott,Top Songs of 2019: USA,Travis Scott,0.785,0.554,0.0,-6.571,1.0,0.0409,0.283,3.4e-06,0.116,0.144,128.047,2019,USA
136,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2019: USA,,,,,,,,,,,,,2019,USA
137,Never Recover,"Lil Baby, Gunna, Drake",Top Songs of 2019: USA,"Lil Baby, Gunna, Drake",0.753,0.686,1.0,-5.415,0.0,0.284,0.0677,0.0,0.193,0.886,132.055,2019,USA
138,Leave Me Alone,Flipp Dinero,Top Songs of 2019: USA,Flipp Dinero,0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,2019,USA
139,Armed and Dangerous,Juice WRLD,Top Songs of 2019: USA,Juice WRLD,0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,2019,USA
