,stay_home_requirements
,mean
Entity,
Afghanistan,0.48153214774281805
Albania,1.5786593707250343
Algeria,1.6196990424076607
Andorra,0.19288645690834474
Angola,1.0861833105335157
Argentina,1.7140902872777017
Aruba,0.9904240766073872
Australia,1.106703146374829
Austria,0.826265389876881
Azerbaijan,1.1655266757865936
Bahamas,1.6853625170998632
Bahrain,1.0259917920656634
Bangladesh,1.640218878248974
Barbados,1.3187414500683994
Belarus,0.6880984952120383
Belgium,0.960328317373461
Belize,1.305061559507524
Benin,0.20656634746922026
Bermuda,1.051983584131327
Bhutan,1.231190150478796
Bolivia,1.0957592339261286
Bosnia and Herzegovina,0.7688098495212038
Botswana,1.2393980848153214
Brazil,1.7017783857729138
Brunei,0.3761969904240766
Bulgaria,0.18194254445964433
Burkina Faso,0.42818057455540354
Burundi,0.0
Cambodia,1.1176470588235294
Cameroon,0.0
Canada,1.3132694938440492
Cape Verde,1.051983584131327
Central African Republic,0.93296853625171
Chad,0.9357045143638851
Chile,2.1108071135430917
China,2.454172366621067
Colombia,1.716826265389877
Congo,1.8344733242134064
Costa Rica,0.8755129958960328
Cote d'Ivoire,0.8454172366621067
Croatia,0.320109439124487
Cuba,1.2517099863201095
Cyprus,1.3283173734610123
Czechia,0.600547195622435
Democratic Republic of Congo,1.3857729138166894
Denmark,0.5759233926128591
Djibouti,0.22571819425444598
Dominica,0.5677154582763337
Dominican Republic,1.5307797537619698
Ecuador,1.0889192886456909
Egypt,0.25718194254445964
El Salvador,1.042407660738714
Eritrea,1.5198358413132695
Estonia,0.22571819425444598
Eswatini,1.424076607387141
Ethiopia,0.2763337893296854
Faeroe Islands,0.2585499316005472
Fiji,1.786593707250342
Finland,0.5554035567715458
France,0.8809849521203831
Gabon,1.7811217510259918
Gambia,0.4062927496580027
Georgia,1.2051983584131327
Germany,0.8837209302325582
Ghana,0.280437756497948
Greece,1.4363885088919288
Greenland,0.2777017783857729
Guam,0.6415868673050615
Guatemala,0.6908344733242134
Guinea,1.7564979480164158
Guyana,1.734610123119015
Haiti,1.6073871409028728
Honduras,1.9986320109439124
Hong Kong,0.8426812585499316
Hungary,0.9671682626538988
Iceland,0.0
India,2.1422708618331052
Indonesia,1.5950752393980847
Iran,1.3707250341997264
Iraq,1.6073871409028728
Ireland,0.8358413132694938
Israel,0.7250341997264022
Italy,1.811217510259918
Jamaica,1.8837209302325582
Japan,0.786593707250342
Jordan,1.3803009575923393
Kazakhstan,1.1956224350205198
Kenya,1.8002735978112174
Kiribati,0.3173734610123119
Kosovo,1.4090287277701778
Kuwait,1.0533515731874146
Kyrgyzstan,0.6566347469220246
Laos,0.6812585499316005
Latvia,0.35841313269493846
Lebanon,1.560875512995896
Lesotho,1.4336525307797539
Liberia,0.6497948016415869
Libya,1.3187414500683994
Liechtenstein,0.5444596443228454
Lithuania,0.6511627906976745
Luxembourg,1.0287277701778386
Macao,0.0
Madagascar,1.216142270861833
Malawi,0.5348837209302325
Malaysia,1.3091655266757867
Mali,0.3283173734610123
Malta,0.20930232558139536
Mauritania,1.1053351573187415
Mauritius,0.5198358413132695
Mexico,1.387140902872777
Moldova,0.8303693570451436
Monaco,1.1149110807113543
Mongolia,0.9548563611491108
Morocco,1.5389876880984952
Mozambique,1.1792065663474691
Myanmar,1.86593707250342
Namibia,1.1655266757865936
Nepal,1.1942544459644322
Netherlands,0.8891928864569083
New Zealand,0.5253077975376197
Nicaragua,0.0
Niger,0.046511627906976744
Nigeria,1.7209302325581395
Norway,0.466484268125855
Oman,1.1723666210670314
Pakistan,1.689466484268126
Palestine,1.6415868673050615
Panama,1.9548563611491108
Papua New Guinea,0.8481532147742818
Paraguay,1.6662106703146375
Peru,2.002735978112175
Philippines,1.7647058823529411
Poland,0.7004103967168263
Portugal,1.0478796169630642
Puerto Rico,1.1504787961696306
Qatar,0.9630642954856361
Romania,1.155950752393981
Russia,0.8700410396716827
Rwanda,1.783857729138167
San Marino,0.7236662106703147
Saudi Arabia,0.5006839945280438
Senegal,0.5950752393980848
Serbia,0.9343365253077975
Seychelles,0.9794801641586868
Sierra Leone,0.6634746922024624
Singapore,0.9712722298221614
Slovakia,0.79890560875513
Slovenia,0.612859097127223
Solomon Islands,0.012311901504787962
Somalia,0.8577291381668947
South Africa,1.7058823529411764
South Korea,0.6607387140902873
South Sudan,0.9890560875512996
Spain,1.2900136798905608
Sri Lanka,1.7359781121751026
Sudan,0.5389876880984952
Suriname,1.7633378932968535
Sweden,0.7564979480164159
Switzerland,0.4746922024623803
Syria,0.655266757865937
Taiwan,0.18878248974008208
Tajikistan,0.07387140902872777
Tanzania,0.028727770177838577
Thailand,1.0492476060191518
Timor,1.0054719562243501
Togo,0.6716826265389877
Tonga,1.7537619699042408
Trinidad and Tobago,0.7948016415868673
Tunisia,1.161422708618331
Turkey,1.1231190150478796
Turkmenistan,0.12859097127222982
Uganda,1.7277701778385772
Ukraine,0.6415868673050615
United Arab Emirates,0.18878248974008208
United Kingdom,0.7797537619699042
United States,1.3830369357045145
United States Virgin Islands,0.7359781121751026
Uruguay,0.5978112175102599
Uzbekistan,0.6703146374829001
Vanuatu,0.146374829001368
Venezuela,1.6867305061559508
Vietnam,1.161422708618331
Yemen,1.344733242134063
Zambia,0.20109439124487005
Zimbabwe,1.6087551299589604
